skill_variant,canonical_skill,skill_category
python,python,language
python3,python,language
py,python,language
javascript,javascript,language
js,javascript,language
typescript,typescript,language
ts,typescript,language
java,java,language
golang,go,language
go,go,language
rust,rust,language
c++,cpp,language
cpp,cpp,language
ruby,ruby,language
scala,scala,language
kotlin,kotlin,language
swift,swift,language
r,r,language
sql,sql,language
nosql,nosql,database
postgresql,postgresql,database
postgres,postgresql,database
mysql,mysql,database
mongodb,mongodb,database
mongo,mongodb,database
redis,redis,database
elasticsearch,elasticsearch,database
snowflake,snowflake,database
bigquery,bigquery,database
redshift,redshift,database
databricks,databricks,database
dbt,dbt,transform
airflow,airflow,orchestration
prefect,prefect,orchestration
dagster,dagster,orchestration
luigi,luigi,orchestration
fivetran,fivetran,ingestion
airbyte,airbyte,ingestion
stitch,stitch,ingestion
kafka,kafka,streaming
spark,spark,compute
flink,flink,streaming
pandas,pandas,library
numpy,numpy,library
scikit-learn,scikit-learn,library
sklearn,scikit-learn,library
tensorflow,tensorflow,ml_framework
pytorch,pytorch,ml_framework
keras,keras,ml_framework
react,react,frontend
reactjs,react,frontend
react.js,react,frontend
vue,vue,frontend
vuejs,vue,frontend
angular,angular,frontend
nextjs,nextjs,frontend
next.js,nextjs,frontend
node,nodejs,backend
nodejs,nodejs,backend
node.js,nodejs,backend
django,django,backend
flask,flask,backend
fastapi,fastapi,backend
rails,rails,backend
spring,spring,backend
docker,docker,devops
kubernetes,kubernetes,devops
k8s,kubernetes,devops
terraform,terraform,devops
ansible,ansible,devops
jenkins,jenkins,ci_cd
github actions,github_actions,ci_cd
gitlab ci,gitlab_ci,ci_cd
circleci,circleci,ci_cd
aws,aws,cloud
amazon web services,aws,cloud
azure,azure,cloud
gcp,gcp,cloud
google cloud,gcp,cloud
git,git,tool
linux,linux,tool
grafana,grafana,observability
datadog,datadog,observability
prometheus,prometheus,observability
tableau,tableau,bi_tool
looker,looker,bi_tool
power bi,power_bi,bi_tool
powerbi,power_bi,bi_tool
metabase,metabase,bi_tool
figma,figma,design_tool
jira,jira,tool
confluence,confluence,tool
