company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Agrofert,agrofert.cz,1,teamio,agrofertkoncern,,-1,RESTRICTED,https://www.agrofert.cz/,
Air Bank,airbank.cz,1,greenhouse,air,,35,yes,api-probe,
Albert,albert.cz,1,teamio,albert,,-1,RESTRICTED,https://www.albert.cz/,
Ataccama,ataccama.com,1,lever,ataccama,,10,yes,api-probe,
Bloomreach,bloomreach.com,1,greenhouse,bloomreach,,76,yes,https://www.bloomreach.com/en/careers,
CEZ Group,cez.cz,1,teamio,kdejinde,,-1,RESTRICTED,https://www.cez.cz/,
Ceska sporitelna,csas.cz,1,teamio,csas,,-1,RESTRICTED,https://www.csas.cz/cs/osobni-finance,
Ceske drahy,cd.cz,1,teamio,ceskedrahy,,-1,RESTRICTED,https://www.cd.cz/kariera/default.htm,
Ceske drahy,cd.cz,1,bamboohr,cd,,4,no,api-probe,
Creditas,creditas.cz,1,teamio,creditas,,-1,RESTRICTED,https://www.creditas.cz/,
Dopravni podnik Praha,dpp.cz,1,teamio,dpp,,-1,RESTRICTED,https://www.dpp.cz/,
Dr. Max,drmax.cz,1,bamboohr,dr,,4,no,api-probe,
Emplifi,emplifi.io,1,greenhouse,emplifi,,10,yes,api-probe,yes
Fio banka,fio.cz,1,teamio,fio,,-1,RESTRICTED,https://www.fio.cz/,
Gen Digital (Avast),gendigital.com,1,ashby,gen-digital,,106,yes,https://www.gendigital.com/us/en/,
Generali Ceska pojistovna,generaliceska.cz,1,teamio,generaliceska,,-1,RESTRICTED,https://generaliceska.jobs.cz,
JetBrains,jetbrains.com,1,greenhouse,jetbrains,,95,yes,api-probe,
Kiwi.com,kiwi.com,1,ashby,kiwi-com,,15,yes,api-probe,
Kiwi.com,kiwi.com,1,personio,kiwi,,2,no,api-probe,
Komercni banka,kb.cz,1,teamio,kb,,-1,RESTRICTED,https://kariera.kb.cz/,
Komercni banka,kb.cz,1,recruitee,kb,,2,no,api-probe,
Kooperativa,koop.cz,1,teamio,kooperativa,,-1,RESTRICTED,https://www.koop.cz/pojistovna-kooperativa/kariera,
Letiste Praha,prg.aero,1,teamio,pracenaletisti,,-1,RESTRICTED,https://www.prg.aero/,
Letiste Praha,prg.aero,1,teamio,site-media,,-1,RESTRICTED,https://pracenaletisti.jobs.cz/,
Lidl CZ,lidl.cz,1,successfactors,career5,,-1,no,https://kariera.lidl.cz/?_ga=2.246822400.523094201.1610961673-1762149313.1610961673,
Livesport,livesport.eu,1,recruitee,livesportsro,,2,no,https://livesport.eu/,
Moneta Money Bank,moneta.cz,1,teamio,moneta,,-1,RESTRICTED,https://kariera.moneta.cz/,
Raiffeisenbank CZ,rb.cz,1,teamio,rb,,-1,RESTRICTED,https://www.rb.cz/,
Red Hat,redhat.com,1,workday,redhat,wd5/jobs,137,yes,https://www.redhat.com/en/jobs,
Rohlik Group,rohlik.group,1,ashby,rohlik,,85,yes,api-probe,
SPP,spp.sk,1,personio,spp,,3,no,api-probe,
US Steel Kosice,usske.sk,1,greenhouse,us,,1,yes,api-probe,
Vodafone Czech Republic,vodafone.cz,1,teamio,vodafone,,-1,RESTRICTED,https://www.vodafone.cz/kariera/,
Zentiva,zentiva.com,1,workday,zentiva,wd3/Zentiva,115,yes,https://www.zentiva.com/,
Allegro,allegro.eu,2,successfactors,career55,,-1,no,https://jobs.allegro.eu/,
Apify,apify.com,2,ashby,apify,,15,yes,https://apify.com/jobs,
Apify,apify.com,2,bamboohr,apify,,1,no,api-probe,
Braiins,braiins.com,2,ashby,braiins,,7,yes,api-probe,
Brose CZ,brose.com,2,successfactors,career2,,-1,no,https://www.brose.com/de-de/,
CloudTalk,cloudtalk.io,2,workable,cloudtalk,,8,no,api-probe,
Codasip,codasip.com,2,bamboohr,codasip,,5,no,https://codasip.com/company/careers/,
Datart,datart.cz,2,teamio,datart,,-1,RESTRICTED,https://www.datart.cz/napoveda/zamestnani,
