company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Craftzing,craftzing.com,1,recruitee,craftzing,,16,yes,https://www.craftzing.com/,
Isabel Group,isabelgroup.eu,1,recruitee,careers-analytics,,-1,yes,https://careers.isabel.eu/,
Isabel Group,isabelgroup.eu,1,recruitee,isabelgroup,,6,yes,api-probe,
ML6,ml6.eu,1,teamtailor,ml6,,12,yes,api-probe,
Ometria,ometria.com,1,workable,ometria,,3,yes,api-probe,
Ontoforce,ontoforce.com,1,recruitee,careers-analytics,,-1,yes,https://careers.ontoforce.com/,
Ontoforce,ontoforce.com,1,recruitee,ontoforce,,2,yes,api-probe,
Robovision,robovision.ai,1,recruitee,robovision,,3,yes,api-probe,
Tinkerlist,tinkerlist.tv,1,personio,tinkerlist,,-1,no,https://cuez.app,
AG Insurance,aginsurance.be,2,greenhouse,ag,,3,yes,api-probe,
Euroclear,euroclear.com,2,oraclecloud,don,em2/CX_1003,150,yes,https://www.euroclear.com/en.html,
Fluvius,fluvius.be,2,successfactors,performancemanager,,-1,no,https://jobs.fluvius.be/,
Fluvius,fluvius.be,2,successfactors,rmkcdn,,-1,no,https://jobs.fluvius.be/,
Fluvius,fluvius.be,2,successfactors,career2,,-1,no,https://jobs.fluvius.be/,
Luminus,luminus.be,2,recruitee,careers-analytics,,-1,yes,https://jobs.luminus.be/,
Luminus,luminus.be,2,recruitee,luminus,,23,yes,api-probe,
Luminus,luminus.be,2,bamboohr,luminus,,5,RESTRICTED,api-probe,
STIB MIVB,stib-mivb.be,2,successfactors,hcm55,,-1,no,https://jobs.stib-mivb.be/,
STIB MIVB,stib-mivb.be,2,successfactors,rmkcdn,,-1,no,https://jobs.stib-mivb.be/,
STIB MIVB,stib-mivb.be,2,successfactors,career55,,-1,no,https://jobs.stib-mivb.be/,
Aliaxis,aliaxis.com,3,workday,aliaxis,wd3/Aliaxis,253,yes,https://aliaxis.com/careers/,
Argenx,argenx.com,3,workday,argenx,wd3/External_Careers,46,yes,https://careers.argenx.com/,
Bekaert,bekaert.com,3,successfactors,performancemanager5,,-1,no,https://jobs.bekaert.com/,
Bekaert,bekaert.com,3,successfactors,rmkcdn,,-1,no,https://jobs.bekaert.com/,
Bekaert,bekaert.com,3,successfactors,career5,,-1,no,https://jobs.bekaert.com/,
Janssen Pharmaceutica,janssen.com,3,workday,jj,wd5/JJ,1771,yes,https://www.careers.jnj.com/en/,
Ontex,ontexglobal.com,3,successfactors,performancemanager5,,-1,no,https://careers.ontex.com/,
Ontex,ontexglobal.com,3,successfactors,career5,,-1,no,https://careers.ontex.com/,
Puratos,puratos.com,3,successfactors,performancemanager5,,-1,no,https://jobs.puratos.com/search/,
Puratos,puratos.com,3,successfactors,rmkcdn,,-1,no,https://jobs.puratos.com/search/,
Puratos,puratos.com,3,successfactors,api012,,-1,no,https://jobs.puratos.com/search/,
Puratos,puratos.com,3,successfactors,career5,,-1,no,https://jobs.puratos.com/search/,
Sea-Invest,sea-invest.com,3,recruitee,careers-analytics,,-1,yes,https://jobs.sea-invest.com/,
