company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Alvotech,alvotech.com,1,workday,alvotech,wd103/Alvotech_Careers,9,yes,https://www.alvotech.com/,
CYENS Centre of Excellence,cyens.org.cy,1,personio,cyens-centre-of-excellence,,21,no,api-probe,
Capital.com,capital.com,1,lever,capital,,43,yes,api-probe,
Controlant,controlant.com,1,workable,controlant,,-1,yes,https://www.controlant.com/people,
Embla Medical (Ossur),emblamedical.com,1,workday,ossur,wd3/EmblaMedicalCareersGlobal,16,yes,https://emblamedical.com/about-us/careers,
FxPro,fxpro.com,1,greenhouse,fxpro,,3,yes,api-probe,
FxPro,fxpro.com,1,bamboohr,fxpro,,46,RESTRICTED,api-probe,
GR8 Tech,gr8.tech,1,greenhouse,gr8tech,,23,yes,api-probe,
GR8 Tech,gr8.tech,1,ashby,gr8-tech,,25,yes,api-probe,
JBT Marel (Marel),jbtmarel.com,1,workday,jbtm,wd108/JBT_Marel_Career_Site,290,yes,https://jbtmarel.com/,
Mangopay,mangopay.com,1,teamtailor,mangopay,,7,yes,https://mangopay.com/,
Tempo,tempo.io,1,ashby,tempo-io,,21,yes,https://www.tempo.io/careers,
Tempo,tempo.io,1,greenhouse,tempo,,1,yes,api-probe,
Tickmill,tickmill.com,1,bamboohr,tickmill,,34,RESTRICTED,https://www.tickmill.com/eu/about/careers,
Yggdrasil Gaming,yggdrasilgaming.com,1,bamboohr,yggdrasilgaming,,1,RESTRICTED,api-probe,
payabl,payabl.com,1,workable,payabl,,66,yes,https://payabl.com/careers,
Bank of Cyprus,bankofcyprus.com,2,successfactors,career55,,-1,no,https://www.bankofcyprus.com/group/careers/,
Bernhard Schulte Shipmanagement,bs-shipmanagement.com,2,teamtailor,bsm,,44,yes,https://bs-shipmanagement.com/careers-on-shore/,
Bernhard Schulte Shipmanagement,bs-shipmanagement.com,2,teamtailor,bernhardschulte,,4,yes,https://bs-shipmanagement.com/careers-on-shore/,
Bernhard Schulte Shipmanagement,bs-shipmanagement.com,2,teamtailor,bsm-bsm-cruise,,5,yes,https://bs-shipmanagement.com/careers-on-shore/,
LeoVegas Group,leovegasgroup.com,2,ashby,leovegasgroup,,73,yes,https://www.leovegasgroup.com/,
Libertex Group,libertex.com,2,workable,libertex-europe,,10,yes,https://libertex.com/,
MeDirect,medirect.com.mt,2,bamboohr,medirect,,13,RESTRICTED,https://www.medirect.com.mt/about-us/careers/internship-programme/,
Odyssey Cybersecurity,odysseycs.com,2,ashby,odyssey,,4,yes,api-probe,
Odyssey Cybersecurity,odysseycs.com,2,bamboohr,odyssey,,2,RESTRICTED,api-probe,
Origo,origo.is,2,teamtailor,origo,,4,yes,api-probe,
Payconiq International,payconiq.com,2,recruitee,payconiq,,3,yes,api-probe,
Raketech,raketech.com,2,recruitee,raketech,,5,yes,api-probe,
Remedica,remedica.eu,2,successfactors,hcm55,,-1,no,https://careers.remedica.eu/,
Remedica,remedica.eu,2,successfactors,career55,,-1,no,https://careers.remedica.eu/,
Tototheo Maritime,tototheo.com,2,bamboohr,tototheo,,4,RESTRICTED,https://tototheo.com/careers/,
Truevo,truevo.com,2,bamboohr,truevo,,1,RESTRICTED,https://truevo.com/careers/,
VistaJet,vistajet.com,2,icims,careers-vistaglobal,,-1,no,https://vistaglobal.com/careers/,
VistaJet,vistajet.com,2,icims,hub-vistaglobal,,-1,no,https://vistaglobal.com/careers/,
atNorth,atnorth.com,2,teamtailor,atnorth,,24,yes,api-probe,
AGR Dynamics,agrinventory.com,3,greenhouse,agr,,7,yes,api-probe,
Windsor Brokers,windsorbrokers.com,3,bamboohr,windsorbrokers,,1,RESTRICTED,https://windsorbrokers.com/company/careers/vacancies/,
