company,domain,tier
# Ordered top (largest / most prominent Czech employers and tech companies) to bottom.
# `tier` is a rough prominence band, used only to order the probe and the report.
# Source: hand-assembled. Deliberately NOT derived from jobs.cz — see scripts/discover_ats.py.
JetBrains,jetbrains.com,1
Gen Digital (Avast),gendigital.com,1
Seznam.cz,seznam.cz,1
Alza.cz,alza.cz,1
Skoda Auto,skoda-auto.cz,1
CEZ Group,cez.cz,1
Kiwi.com,kiwi.com,1
Rohlik Group,rohlik.group,1
Notino,notino.com,1
Packeta,packeta.com,1
Productboard,productboard.com,1
Mews,mews.com,1
Bloomreach,bloomreach.com,1
Emplifi,emplifi.io,1
Ataccama,ataccama.com,1
Heureka Group,heureka.group,1
Livesport,livesport.eu,1
Red Hat,redhat.com,1
Ceska sporitelna,csas.cz,1
CSOB,csob.cz,1
Komercni banka,kb.cz,1
O2 Czech Republic,o2.cz,1
T-Mobile Czech Republic,t-mobile.cz,1
Vodafone Czech Republic,vodafone.cz,1
Moneta Money Bank,moneta.cz,1
Air Bank,airbank.cz,1
Raiffeisenbank CZ,rb.cz,1
UniCredit Bank CZ,unicreditbank.cz,1
Fio banka,fio.cz,1
Dr. Max,drmax.cz,1
GoodData,gooddata.com,2
Y Soft,ysoft.com,2
Apify,apify.com,2
Keboola,keboola.com,2
Rossum,rossum.ai,2
Resistant AI,resistant.ai,2
ThreatMark,threatmark.com,2
Manta,getmanta.com,2
Recombee,recombee.com,2
CDN77,cdn77.com,2
SatoshiLabs,satoshilabs.com,2
Braiins,braiins.com,2
Twisto,twisto.cz,2
Liftago,liftago.com,2
DoDo,dodo.delivery,2
Kentico,kentico.com,2
Progress Flowmon,flowmon.com,2
Codasip,codasip.com,2
TESCAN,tescan.com,2
Deepnote,deepnote.com,2
Slevomat,slevomat.cz,2
Pilulka,pilulka.cz,2
Kosik.cz,kosik.cz,2
Footshop,footshop.com,2
Bonami,bonami.cz,2
Mall Group,mallgroup.com,2
Allegro,allegro.eu,2
CZC.cz,czc.cz,2
Datart,datart.cz,2
Benu,benu.cz,2
Storyous,storyous.com,2
Fidoo,fidoo.com,2
Woltair,woltair.cz,2
Nano Energies,nanoenergies.cz,2
Behavio,behavio.cz,2
Tanganica,tanganica.com,2
