company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
BTL Medical Technologies,btlnet.com,1,personio,btl,,3,no,api-probe,
BTL Medical Technologies,btlnet.com,1,bamboohr,btl,,5,RESTRICTED,api-probe,
Fortuna Entertainment,ifortuna.cz,1,teamio,fortuna,,-1,RESTRICTED,https://www.ifortuna.cz/,
Garrett Motion,garrettmotion.com,1,oraclecloud,ehth,em2/CX_2001,107,yes,https://www.garrettmotion.com/careers/,
Shoptet,shoptet.cz,1,recruitee,shoptet,,5,yes,api-probe,
onsemi,onsemi.com,1,oraclecloud,hctz,us2/CX_1001,657,yes,https://www.onsemi.com/,
Confirmo,confirmo.net,2,recruitee,confirmo,,7,yes,https://confirmo.com/,
Dateio,dateio.eu,2,bamboohr,dateio,,7,RESTRICTED,api-probe,
General Bytes,generalbytes.com,2,greenhouse,general,,1,yes,api-probe,
GoodRequest,goodrequest.com,2,recruitee,goodrequest,,1,yes,api-probe,
GoodRequest,goodrequest.com,2,bamboohr,goodrequest,,1,RESTRICTED,api-probe,
Investown,investown.cz,2,bamboohr,investown,,1,RESTRICTED,api-probe,
Roi Hunter,roihunter.com,2,recruitee,roi,,5,yes,api-probe,
Roi Hunter,roihunter.com,2,workable,roi-hunter,,4,yes,api-probe,
Safetica,safetica.com,2,recruitee,careers-analytics,,-1,yes,https://careers.safetica.com/,
Safetica,safetica.com,2,recruitee,safetica,,2,yes,api-probe,
Upvest,upvest.cz,2,ashby,upvest,,30,yes,api-probe,
