company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
BASF,basf.com,1,successfactors,career5,,-1,no,https://www.basf.com/cz/cs/careers,
Covestro,covestro.com,1,workday,covestro,wd3/cov_external,130,yes,https://www.covestro.com/,
Deutsche Bank,db.com,1,bamboohr,db,,5,RESTRICTED,api-probe,
E.ON,eon.com,1,ashby,eon,,7,yes,api-probe,
E.ON,eon.com,1,bamboohr,eon,,1,RESTRICTED,api-probe,
Knorr-Bremse,knorr-bremse.com,1,successfactors,performancemanager5,,-1,no,https://careers.knorr-bremse.com/?locale=en_US,
Knorr-Bremse,knorr-bremse.com,1,successfactors,rmkcdn,,-1,no,https://careers.knorr-bremse.com/?locale=en_US,
Knorr-Bremse,knorr-bremse.com,1,successfactors,career5,,-1,no,https://careers.knorr-bremse.com/?locale=en_US,
Mercedes-Benz,mercedes-benz.com,1,bamboohr,mercedes,,4,RESTRICTED,api-probe,
Munich Re,munichre.com,1,bamboohr,munichre,,1,RESTRICTED,api-probe,
RWE,rwe.com,1,successfactors,career5,,-1,no,https://www.rwe.com/karriere-bei-rwe/berufseinsteiger/werkstudierendenjobs-und-praktika/,
Schaeffler,schaeffler.com,1,personio,schaeffler,,6,no,api-probe,
ThyssenKrupp,thyssenkrupp.com,1,workday,steeleurope,wd3/Job_Board,71,yes,https://jobs.thyssenkrupp.com/de?company=thyssenkrupp+nucera+AG+%26+Co.+KGaA,
ThyssenKrupp,thyssenkrupp.com,1,workday,thyssenkruppmaterialsna,wd12/1,184,yes,https://jobs.thyssenkrupp.com/de?company=thyssenkrupp+nucera+AG+%26+Co.+KGaA,
Trumpf,trumpf.com,1,workday,trumpf,wd3/TRUMPF_Graduates_and_Professionals,251,yes,https://www.trumpf.com/cs_CZ/kariera/pracovni-nabidky/,
Vaillant,vaillant.com,1,successfactors,performancemanager5,,-1,no,https://jobs.vaillant-group.com/content/all-jobs/?locale=en_GB,
Vaillant,vaillant.com,1,successfactors,rmkcdn,,-1,no,https://jobs.vaillant-group.com/content/all-jobs/?locale=en_GB,
Vaillant,vaillant.com,1,successfactors,career5,,-1,no,https://jobs.vaillant-group.com/content/all-jobs/?locale=en_GB,
Volkswagen,volkswagen.de,1,successfactors,career5,,-1,no,https://www.volkswagen-karriere.de/en.html,
ZF Friedrichshafen,zf.com,1,successfactors,performancemanager5,,-1,no,https://jobs.zf.com/,
ZF Friedrichshafen,zf.com,1,successfactors,career5,,-1,no,https://jobs.zf.com/,
Zeiss,zeiss.com,1,lever,zeiss,,3,yes,api-probe,
1Komma5,1komma5.com,2,personio,1komma5grad,,314,no,https://1komma5.com/de/ueber-uns/jobs/,
Adjust,adjust.com,2,recruitee,adjust,,29,yes,api-probe,
Agile Robots,agile-robots.com,2,workable,agile-robots,,-1,yes,https://www.agile-robots.com/en/career/,
Babbel,babbel.com,2,ashby,babbel,,2,yes,api-probe,
Bitpanda,bitpanda.com,2,greenhouse,bitpanda,,46,yes,api-probe,
Camunda,camunda.com,2,ashby,camunda,,40,yes,api-probe,
Celonis,celonis.com,2,greenhouse,celonis,,248,yes,api-probe,
Clark,clark.de,2,personio,clark,,3,no,https://www.clark.de/ueber-uns/karriere/,
Clark,clark.de,2,ashby,clark,,19,yes,api-probe,
Coachhub,coachhub.com,2,ashby,coachhub,,-1,yes,https://www.coachhub.com/career,
Commercetools,commercetools.com,2,greenhouse,commercetools,,21,yes,api-probe,yes
Contentful,contentful.com,2,greenhouse,contentful,,27,yes,https://www.contentful.com/careers/,
Doctolib DE,doctolib.de,2,greenhouse,doctolib,,156,yes,api-probe,
Doctolib DE,doctolib.de,2,ashby,doctolib,,153,yes,api-probe,
Enpal,enpal.de,2,ashby,enpal,,232,yes,api-probe,
Finn,finn.com,2,lever,finn,,32,yes,https://www.finn.com/de-DE/careers,
Flix,flix.com,2,greenhouse,flix,,142,yes,api-probe,
GetYourGuide,getyourguide.com,2,greenhouse,getyourguide,,52,yes,api-probe,
