company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
CarTrawler,cartrawler.com,1,lever,cartrawler,,11,yes,api-probe,
Fineos,fineos.com,1,successfactors,hcm55,,-1,no,https://careers.fineos.com?utm_campaign=CorporateSite,
Fineos,fineos.com,1,successfactors,career55,,-1,no,https://careers.fineos.com?utm_campaign=CorporateSite,
Flipdish,flipdish.com,1,greenhouse,flipdish,,7,yes,api-probe,
Frontify,frontify.com,1,lever,frontify,,15,yes,https://www.frontify.com/en/career,
Frontify,frontify.com,1,ashby,frontify,,15,yes,api-probe,
ICON plc,iconplc.com,1,ashby,icon,,6,yes,api-probe,
ICON plc,iconplc.com,1,recruitee,icon,,2,yes,api-probe,
Intercom,intercom.com,1,greenhouse,intercom,,121,yes,https://fin.ai/careers,
KONE,kone.com,1,workday,kone,wd3/Careers,956,yes,https://www.kone.com/global/en.html,
LetsGetChecked,letsgetchecked.com,1,workable,letsgetchecked,,-1,yes,https://www.letsgetchecked.com/kariera/,
Logitech,logitech.com,1,workday,logitech,wd5/Logitech,203,yes,https://www.logitech.com/cs-cz/careers,
Lunar,lunar.app,1,ashby,lunar,,14,yes,api-probe,
Lunar,lunar.app,1,teamtailor,lunar,,14,yes,api-probe,
Maersk,maersk.com,1,teamtailor,maersk,,10,yes,api-probe,
Novartis,novartis.com,1,workday,novartis,wd3/Internal_Careers_for_Acquired_Entities,605,yes,https://www.novartis.com/careers/our-business-functions,
Novo Nordisk,novonordisk.com,1,ashby,novo,,7,yes,api-probe,
Novo Nordisk,novonordisk.com,1,bamboohr,novo,,10,RESTRICTED,api-probe,
On Running,on.com,1,greenhouse,onrunning,,340,yes,https://culture.on.com/,
Pleo,pleo.io,1,ashby,pleo,,41,yes,https://www.pleo.io/en/careers,
Proton,proton.me,1,greenhouse,proton,,74,yes,api-probe,
Reaktor,reaktor.com,1,ashby,reaktor,,21,yes,api-probe,
Relex Solutions,relexsolutions.com,1,greenhouse,relex,,38,yes,api-probe,
Scandit,scandit.com,1,greenhouse,scandit,,15,yes,api-probe,
Smartly,smartly.io,1,greenhouse,smartlyio,,77,yes,https://www.smartly.io/careers,
Supercell,supercell.com,1,ashby,supercell,,37,yes,api-probe,
Swiss Re,swissre.com,1,successfactors,career2,,-1,no,https://www.swissre.com/,
Swisscom,swisscom.ch,1,recruitee,swisscom,,9,yes,api-probe,
