company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Efecte,efecte.com,1,personio,matrix42,,28,no,https://www.matrix42.com/en/,
Eficode,eficode.com,1,teamtailor,eficode,,8,yes,api-probe,
Housemarque,housemarque.com,1,greenhouse,housemarque,,1,yes,https://housemarque.com/careers,
Insta Group,insta.fi,1,teamtailor,insta,,14,yes,api-probe,
Nightingale Health,nightingalehealth.com,1,teamtailor,nightingalehealth,,1,yes,api-probe,
Nixu,nixu.com,1,oraclecloud,ecyq,em2/CX_1,206,yes,https://jobs.dnv.com/our-business/dnv-cyber,
Nortal,nortal.com,1,greenhouse,nortal,,49,yes,api-probe,
Remedy Entertainment,remedygames.com,1,greenhouse,remedy,,4,yes,api-probe,
SSH Communications Security,ssh.com,1,teamtailor,ssh,,3,yes,api-probe,
Sympa,sympa.com,1,teamtailor,sympa,,1,yes,https://www.sympa.com/about/careers/,
Vincit,vincit.com,1,teamtailor,vincitoyj,,7,yes,https://www.vincit.com/careers,
WithSecure,withsecure.com,1,personio,withsecure,,3,no,api-probe,
Ahlstrom,ahlstrom.com,2,successfactors,career5,,-1,no,https://www.ahlstrom.com/careers/,
Ensto,ensto.com,2,teamtailor,ensto,,8,yes,https://careers.ensto.com/,
Finnair,finnair.com,2,workday,finnair,wd103/finnair,15,yes,https://company.finnair.com/en/careers,
Fiskars,fiskarsgroup.com,2,workday,fiskars,wd3/FiskarsGroup,17,yes,https://fiskarsgroup.com/,
Granlund,granlund.fi,2,teamtailor,granlund,,33,yes,api-probe,
Innofactor,innofactor.com,2,teamtailor,career,,15,yes,https://www.teamtailor.com/en/?utm_campaign=poweredby&amp;utm_content=ura.innofactor.fi&amp;utm_medium=referral&amp;utm_source=career-site,
Innofactor,innofactor.com,2,teamtailor,support,,-1,yes,https://www.teamtailor.com/en/?utm_campaign=poweredby&amp;utm_content=ura.innofactor.fi&amp;utm_medium=referral&amp;utm_source=career-site,
Innofactor,innofactor.com,2,teamtailor,docs,,-1,yes,https://www.teamtailor.com/en/?utm_campaign=poweredby&amp;utm_content=ura.innofactor.fi&amp;utm_medium=referral&amp;utm_source=career-site,
Innofactor,innofactor.com,2,teamtailor,trust,,-1,yes,https://www.teamtailor.com/en/?utm_campaign=poweredby&amp;utm_content=ura.innofactor.fi&amp;utm_medium=referral&amp;utm_source=career-site,
Metsa Group,metsagroup.com,2,workday,metsagroup,wd103/MetsaGroup_Careers,44,yes,https://www.metsagroup.com/careers/,
Netum,netum.fi,2,teamtailor,netum,,3,yes,api-probe,
Nitro Games,nitrogames.com,2,workable,nitro,,1,yes,api-probe,
Outokumpu,outokumpu.com,2,successfactors,performancemanager5,,-1,no,https://careers.outokumpu.com/search/?locale=en_US&amp;utm_source=careersite,
Outokumpu,outokumpu.com,2,successfactors,rmkcdn,,-1,no,https://careers.outokumpu.com/search/?locale=en_US&amp;utm_source=careersite,
Outokumpu,outokumpu.com,2,successfactors,career5,,-1,no,https://careers.outokumpu.com/search/?locale=en_US&amp;utm_source=careersite,
Patria,patria.fi,2,teamtailor,patria,,18,yes,api-probe,
Paulig,pauliggroup.com,2,workday,pauliggroup,wd3/paulig,11,yes,https://www.pauliggroup.com/,
Polar Electro,polar.com,2,ashby,polar,,5,yes,api-probe,
Polar Electro,polar.com,2,bamboohr,polar,,7,RESTRICTED,api-probe,
Sitowise,sitowise.com,2,teamtailor,sitowise,,5,yes,api-probe,
Teleste,teleste.com,2,teamtailor,teleste,,6,yes,api-probe,
Uponor,uponor.com,2,workday,georgfischer,wd103/GeorgFischer_Careers,302,yes,https://www.uponor.com/cs-cz/o-nas/kariera,
Atria,atria.fi,3,ashby,atria,,10,yes,api-probe,
Posti,posti.fi,3,workday,posti,wd3/external,12,yes,https://www.posti.fi/,
Wihuri,wihuri.fi,3,teamtailor,wihuri,,5,yes,api-probe,
