company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
AXA,axa.com,1,icims,cookie-policy-scripts,,-1,no,https://careers.axa.com/careers-home/?lang=en-US,
AXA,axa.com,1,icims,move-en-axa,,-1,no,https://careers.axa.com/careers-home/?lang=en-US,
AXA,axa.com,1,icims,careers-en-axa,,-1,no,https://careers.axa.com/careers-home/?lang=en-US,
Air Liquide,airliquide.com,1,workday,airliquidehr,wd3/AirLiquideExternalCareer,1154,yes,https://www.airliquide.com/,
Air Liquide,airliquide.com,1,greenhouse,air,,35,yes,api-probe,
Airbus,airbus.com,1,workday,ag,wd3/Airbus,2000,yes,https://www.airbus.com/en/careers,
Dataiku,dataiku.com,1,greenhouse,dataiku,,20,yes,https://www.dataiku.com/company/careers,
Doctolib,doctolib.fr,1,greenhouse,doctolib,,155,yes,api-probe,
Doctolib,doctolib.fr,1,ashby,doctolib,,152,yes,api-probe,
Engie,engie.com,1,successfactors,hcm55,,-1,no,https://jobs.engie.com/,
Engie,engie.com,1,successfactors,rmkcdn,,-1,no,https://jobs.engie.com/,
Engie,engie.com,1,successfactors,career55,,-1,no,https://jobs.engie.com/,
JCDecaux,jcdecaux.com,1,greenhouse,jcdecaux,,10,yes,api-probe,
Pernod Ricard,pernod-ricard.com,1,workday,pernodricard,wd3/pernod-ricard,310,yes,https://www.pernod-ricard.com/en,
Schneider Electric,se.com,1,bamboohr,schneider,,9,RESTRICTED,api-probe,
Teleperformance,teleperformance.com,1,recruitee,teleperformance,,19,yes,api-probe,
TotalEnergies,totalenergies.com,1,bamboohr,totalenergies,,1,RESTRICTED,api-probe,
Worldline,worldline.com,1,successfactors,performancemanager,,-1,no,https://jobs.worldline.com/,
Worldline,worldline.com,1,successfactors,rmkcdn,,-1,no,https://jobs.worldline.com/,
Worldline,worldline.com,1,successfactors,career2,,-1,no,https://jobs.worldline.com/,
Algolia,algolia.com,2,greenhouse,algolia,,40,yes,api-probe,
Alma,alma.eu,2,bamboohr,alma,,21,RESTRICTED,api-probe,
Ankorstore,ankorstore.com,2,ashby,ankorstore,,4,yes,https://my.ankorstore.com/join-us/en,
Brevo,brevo.com,2,lever,brevo,,21,yes,api-probe,
CybelAngel,cybelangel.com,2,teamtailor,cybelangel,,-1,no,https://cybelangel.com/cybel-careers/,
Dashlane,dashlane.com,2,greenhouse,dashlane,,16,yes,api-probe,
Ecovadis,ecovadis.com,2,smartrecruiters,ecovadis,,-1,yes,https://ecovadis.com/careers/,
Ecovadis,ecovadis.com,2,smartrecruiters,oneclick-ui,,-1,yes,https://ecovadis.com/careers/,
Exotec,exotec.com,2,workable,exotec,,72,yes,api-probe,
Front,front.com,2,ashby,frontcareers,,28,yes,https://front.com/jobs,
Hugging Face,huggingface.co,2,workable,huggingface,,7,yes,https://huggingface.co/,
Ivalua,ivalua.com,2,greenhouse,ivalua,,41,yes,api-probe,
Klaxoon,klaxoon.com,2,greenhouse,wrike,,86,yes,https://www.wrike.com/jobs/,
Kyriba,kyriba.com,2,workday,kyriba,wd5/Kyriba-Careers,34,yes,https://www.kyriba.com/company/careers/,
Mirakl,mirakl.com,2,greenhouse,mirakl,,11,yes,api-probe,
Owkin,owkin.com,2,ashby,owkin,,8,yes,https://www.owkin.com/careers,
Pennylane,pennylane.com,2,ashby,pennylane,,116,yes,https://www.pennylane.com/fr/careers,
Pigment,pigment.com,2,lever,pigment,,99,yes,https://www.pigment.com/careers,
Shift Technology,shift-technology.com,2,ashby,shift,,13,yes,api-probe,
Silae,silae.fr,2,teamtailor,silae-career,,-1,no,https://www.silae.fr,
Sorare,sorare.com,2,ashby,sorare,,4,yes,api-probe,
Veepee,veepee.com,2,lever,veepee,,88,yes,api-probe,
Verkor,verkor.com,2,lever,verkor,,38,yes,api-probe,
Vestiaire Collective,vestiairecollective.com,2,lever,vestiairecollective,,12,yes,api-probe,
Voodoo,voodoo.io,2,ashby,voodoo,,103,yes,api-probe,
Younited,younited-credit.com,2,lever,younited,,7,yes,api-probe,
Doctrine,doctrine.fr,3,lever,doctrine,,27,yes,https://www.doctrine.fr/recrutement,
Dust,dust.tt,3,ashby,dust,,23,yes,api-probe,
Gojob,gojob.com,3,lever,gojob,,85,yes,api-probe,
Memo Bank,memo.bank,3,teamtailor,memobank,,-1,no,https://careers.memo.bank/,
Memo Bank,memo.bank,3,recruitee,memo,,6,yes,api-probe,
Nabla,nabla.com,3,ashby,nabla,,13,yes,https://nabla.com/careers,
PlayPlay,playplay.com,3,lever,playplay,,1,yes,https://playplay.com/join-us,
Sweep,sweep.net,3,teamtailor,sweep,,-1,no,https://www.sweep.net/,
Sweep,sweep.net,3,ashby,sweep,,7,yes,api-probe,
Upflow,upflow.io,3,personio,upflow,,3,no,api-probe,
