company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
360Learning,360learning.com,1,lever,360learning,,31,yes,https://360learning.com/,
Agicap,agicap.com,1,lever,agicap,,35,yes,api-probe,
Aircall,aircall.io,1,greenhouse,aircallioinc,,62,yes,https://aircall.io/careers/,
Aircall,aircall.io,1,lever,aircall,,77,yes,api-probe,
Aqemia,aqemia.com,1,lever,aqemia.com,,6,yes,https://aqemia.com/careers,
BlaBlaCar,blablacar.com,1,lever,blablacar,,16,yes,api-probe,
Botify,botify.com,1,teamtailor,botify,,14,yes,https://www.botify.com/careers,
Contentsquare,contentsquare.com,1,lever,contentsquare,,22,yes,https://contentsquare.com/careers/,
DNA Script,dnascript.com,1,greenhouse,dnascript,,4,yes,api-probe,
Ledger,ledger.com,1,ashby,ledger,,9,yes,https://www.ledger.com/,
Ledger,ledger.com,1,lever,ledger,,1,yes,api-probe,
Livestorm,livestorm.co,1,recruitee,livestorm,,2,yes,api-probe,
Malt,malt.com,1,lever,malt,,33,yes,api-probe,
Sarbacane,sarbacane.com,1,teamtailor,groupepositive,,19,yes,https://positivegroup.com/careers?utm_source=product_user&amp;utm_medium=referral,
Scaleway,scaleway.com,1,lever,scaleway,,34,yes,https://www.scaleway.com/en/careers/,
Sunday,sundayapp.com,1,ashby,sunday,,32,yes,api-probe,
Sunday,sundayapp.com,1,teamtailor,sunday,,35,yes,api-probe,
Swile,swile.co,1,lever,swile,,23,yes,api-probe,
VusionGroup,vusion.com,1,smartrecruiters,vusiongroupsa,,-1,yes,https://www.vusion.com/careers/,
Sopra Steria,soprasteria.com,2,smartrecruiters,soprasteria1,,-1,yes,https://careers.soprasteria.com/,
Wavestone,wavestone.com,2,smartrecruiters,ni,,-1,yes,https://www.wavestone.com/en/careers/our-offers/?city=new-york%2Cpittsburgh&amp;sort=desc,
Wavestone,wavestone.com,2,smartrecruiters,wavestone1,,-1,yes,https://www.wavestone.com/en/careers/our-offers/?city=new-york%2Cpittsburgh&amp;sort=desc,
Wavestone,wavestone.com,2,smartrecruiters,oneclick-ui,,-1,yes,https://www.wavestone.com/en/careers/our-offers/?city=new-york%2Cpittsburgh&amp;sort=desc,
Adeo,adeo.com,3,teamtailor,adeo,,10,yes,api-probe,
Air France KLM,airfranceklm.com,3,greenhouse,air,,35,yes,api-probe,
Air France KLM,airfranceklm.com,3,teamtailor,air,,74,yes,api-probe,
Alstom,alstom.com,3,successfactors,performancemanager5,,-1,no,https://jobsearch.alstom.com/,
Alstom,alstom.com,3,successfactors,career5,,-1,no,https://jobsearch.alstom.com/,
ArianeGroup,ariane.group,3,workday,arianegroup,wd3/EXTERNALALL,99,yes,https://www.ariane.group/,
Ipsen,ipsen.com,3,workday,ipsen,wd103/Ipsen_Careers,271,yes,https://www.ipsen.com/,
LVMH,lvmh.com,3,recruitee,lvmh,,49,yes,api-probe,
Pierre Fabre,pierre-fabre.com,3,workday,pierrefabre,wd3/External_Career_Site,184,yes,https://www.pierre-fabre.com/en,
Sonepar,sonepar.com,3,successfactors,performancemanager5,,-1,no,https://career.sonepar.com/?utm_source=sonepar.com&amp;utm_medium=organic_website&amp;utm_campaign=join_us,
Sonepar,sonepar.com,3,successfactors,rmkcdn,,-1,no,https://career.sonepar.com/?utm_source=sonepar.com&amp;utm_medium=organic_website&amp;utm_campaign=join_us,
Sonepar,sonepar.com,3,successfactors,career5,,-1,no,https://career.sonepar.com/?utm_source=sonepar.com&amp;utm_medium=organic_website&amp;utm_campaign=join_us,
Thales Alenia Space,thalesaleniaspace.com,3,workday,thales,wd3/Careers,2000,yes,https://www.thalesaleniaspace.com:443/en/talents-careers,
Thales Alenia Space,thalesaleniaspace.com,3,teamtailor,thales,,22,yes,api-probe,
Valeo,valeo.com,3,workday,valeo,wd3/valeo_jobs,1172,yes,https://www.valeo.com:443/,
