company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
ARM,arm.com,1,icims,earlycareers-arm,,-1,no,https://careers.arm.com/,
ARM,arm.com,1,icims,experienced-arm,,-1,no,https://careers.arm.com/,
Auto Trader,autotrader.co.uk,1,greenhouse,autotrader,,21,yes,api-probe,
BT,bt.com,1,successfactors,performancemanager,,-1,no,https://jobs.bt.com/,
BT,bt.com,1,successfactors,career2,,-1,no,https://jobs.bt.com/,
Barclays,barclays.co.uk,1,workday,barclays,wd3/External_Career_Site_Barclays,1053,yes,https://search.jobs.barclays/,
Darktrace,darktrace.com,1,workday,darktrace,wd3/DarktaceExternal,75,yes,https://www.darktrace.com/careers,
Diageo,diageo.com,1,workday,diageo,wd3/Diageo_Careers,146,yes,https://www.diageo.com/en/careers,
GoCardless,gocardless.com,1,greenhouse,gocardless,,26,yes,https://gocardless.com/about/careers,
Legal and General,landg.com,1,recruitee,legal,,1,yes,api-probe,
Lloyds Banking Group,lloydsbankinggroup.com,1,workday,lbg,wd3/lbg_Careers,98,yes,https://www.lloydsbankinggroup.com/,
Monzo,monzo.com,1,greenhouse,monzo,,73,yes,https://monzo.com/careers,
Octopus Energy,octopus.energy,1,lever,octoenergy,,145,yes,https://octopus.energy/careers/,
Rightmove,rightmove.co.uk,1,bamboohr,rightmove,,0,RESTRICTED,https://www.rightmove.co.uk/careers/,
Skyscanner,skyscanner.net,1,greenhouse,skyscanner,,9,yes,api-probe,
Skyscanner,skyscanner.net,1,ashby,skyscanner,,13,yes,api-probe,
Standard Chartered,sc.com,1,recruitee,standard,,2,yes,api-probe,
Starling Bank,starlingbank.com,1,workable,starling-bank,,87,yes,api-probe,
Trainline,thetrainline.com,1,ashby,trainline,,48,yes,api-probe,
Zoopla,zoopla.co.uk,1,workable,zoopla,,5,yes,api-probe,
BenevolentAI,benevolent.com,2,workable,benevolentai,,0,yes,https://www.benevolent.com/careers/,
Bloom and Wild,bloomandwild.com,2,lever,bloom,,12,yes,api-probe,
Bloom and Wild,bloomandwild.com,2,recruitee,bloom,,3,yes,api-probe,
Causaly,causaly.com,2,ashby,causaly,,9,yes,https://www.causaly.com/,
Cleo,meetcleo.com,2,greenhouse,cleo,,4,yes,api-probe,
ComplyAdvantage,complyadvantage.com,2,greenhouse,complyadvantage,,26,yes,api-probe,
Faculty,faculty.ai,2,ashby,faculty,,62,yes,api-probe,
Form3,form3.tech,2,greenhouse,form3,,4,yes,api-probe,
Freetrade,freetrade.io,2,ashby,freetrade,,-1,yes,https://freetrade.io/careers,
Freetrade,freetrade.io,2,ashby,freetrade,,8,yes,api-probe,
Genomics England,genomicsengland.co.uk,2,ashby,genomics,,13,yes,api-probe,
Graphcore,graphcore.ai,2,greenhouse,graphcore,,219,yes,https://www.graphcore.ai/early-careers,
Immersive Labs,immersivelabs.com,2,ashby,immersivelabs,,8,yes,https://www.immersivelabs.com/company/careers,
Immersive Labs,immersivelabs.com,2,greenhouse,immersive,,18,yes,api-probe,
Immersive Labs,immersivelabs.com,2,bamboohr,immersive,,4,RESTRICTED,api-probe,
Improbable,improbable.io,2,ashby,improbable,,9,yes,api-probe,
Lendable,lendable.co.uk,2,ashby,lendable,,63,yes,api-probe,
Marshmallow,marshmallow.com,2,ashby,marshmallow,,17,yes,https://www.marshmallow.com/jobs,
Modulr,modulrfinance.com,2,greenhouse,modulrfinance,,19,yes,api-probe,
Moneybox,moneyboxapp.com,2,lever,moneyboxapp,,10,yes,api-probe,
Multiverse,multiverse.io,2,ashby,stackfuel,,23,yes,https://www.multiverse.io/careers/were-hiring,
OakNorth,oaknorth.com,2,ashby,oaknorth,,28,yes,api-probe,
Paddle,paddle.com,2,ashby,paddle,,21,yes,https://www.paddle.com/careers,
Peak,peak.ai,2,greenhouse,peak,,50,yes,api-probe,
Peak,peak.ai,2,bamboohr,peak,,1,RESTRICTED,api-probe,
PensionBee,pensionbee.com,2,teamtailor,pensionbeelimited-1750950714,,-1,no,https://www.pensionbee.com/kariera,
Quantexa,quantexa.com,2,ashby,quantexa,,32,yes,api-probe,
Sophos,sophos.com,2,lever,sophos,,110,yes,https://www.sophos.com/en-gb/company/careers,
Thought Machine,thoughtmachine.net,2,ashby,thought-machine,,40,yes,https://www.thoughtmachine.net/,
Tide,tide.co,2,greenhouse,tide,,95,yes,https://www.tide.co/careers/,
Tractable,tractable.ai,2,ashby,tractable,,3,yes,https://tractable.ai/careers/,
Tractable,tractable.ai,2,personio,tractable,,3,no,api-probe,
TrueLayer,truelayer.com,2,greenhouse,truelayer,,10,yes,api-probe,
Zego,zego.com,2,ashby,zego,,2,yes,api-probe,
Zego,zego.com,2,workable,zego,,33,yes,api-probe,
Zilch,zilch.com,2,ashby,zilch,,13,yes,api-probe,
Allica Bank,allica.bank,3,ashby,allica-bank,,39,yes,api-probe,
Chip,getchip.uk,3,teamtailor,chip,,-1,no,https://getchip.uk/,
Elvie,elvie.com,3,greenhouse,willow-blossom,,0,yes,https://elvie.com/,
Fnality,fnality.org,3,teamtailor,fnality,,-1,no,https://fnality.com/careers/open-jobs,
Griffin,griffin.com,3,ashby,griffin,,3,yes,api-probe,
Healx,healx.io,3,lever,healx,,2,yes,https://healx.ai/careers/,
Hometree,hometree.co.uk,3,teamtailor,hometree-1690194722,,-1,no,https://www.hometree.co.uk/careers/,
Kroo,kroo.com,3,workable,j,,-1,yes,https://kroo.com/careers,
Kroo,kroo.com,3,workable,kroo,,21,yes,api-probe,
Lightyear,lightyear.com,3,teamtailor,lightyear,,-1,no,https://careers.lightyear.com/,
Nium,nium.com,3,lever,nium,,39,yes,https://www.nium.com:443/careers,
Plum,withplum.com,3,workable,withplum,,32,yes,https://withplum.com/,
Yapily,yapily.com,3,workable,yapily,,11,yes,https://www.yapily.com/company/careers,
