company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Attest,askattest.com,1,teamtailor,attest,,9,yes,api-probe,
Beamery,beamery.com,1,ashby,beamery,,8,yes,api-probe,
Bumble,bumble.com,1,lever,bumbleinc,,22,yes,https://team.bumble.com/,
Darktrace Federal,darktrace.com,1,workday,darktrace,wd3/DarktaceExternal,76,yes,https://www.darktrace.com/careers,
Deliveroo,deliveroo.co.uk,1,ashby,deliveroo,,185,yes,api-probe,
ElevenLabs,elevenlabs.io,1,ashby,elevenlabs,,226,yes,api-probe,
Farfetch,farfetch.com,1,lever,farfetch,,63,yes,https://aboutfarfetch.com/careers/hiring/,
Hopin,hopin.com,1,workday,ringcentral,wd1/RingCentral_Careers,61,yes,https://www.ringcentral.com/company/careers/overview.html,
Lyst,lyst.com,1,workable,j,,-1,yes,https://www.lyst.com/careers/,
Lyst,lyst.com,1,workable,lyst,,5,yes,api-probe,
Matillion,matillion.com,1,lever,matillion,,22,yes,https://www.matillion.com/careers,
Monzo Flex,monzo.com,1,greenhouse,monzo,,77,yes,https://monzo.com/careers,
Ocado Technology,ocadogroup.com,1,greenhouse,ocadogroup,,51,yes,api-probe,
PolyAI,poly.ai,1,greenhouse,polyai,,15,yes,api-probe,
Stability AI,stability.ai,1,greenhouse,stabilityai,,5,yes,api-probe,
Synthesia,synthesia.io,1,ashby,synthesia,,73,yes,api-probe,
Synthesia,synthesia.io,1,bamboohr,synthesia,,4,RESTRICTED,api-probe,
Tessian,tessian.com,1,workday,proofpoint,wd5/proofpointcareers,154,yes,https://www.proofpoint.com/us/company/careers,
Wayve,wayve.ai,1,greenhouse,wayve,,106,yes,api-probe,
Wayve,wayve.ai,1,ashby,wayve,,104,yes,api-probe,
Zopa,zopa.com,1,lever,zopa,,24,yes,api-probe,
Airbus UK,airbus.com,2,workday,ag,wd3/Airbus,2000,yes,https://www.airbus.com/en/careers,
Babcock International,babcockinternational.com,2,successfactors,career5,,-1,no,https://earlycareers.babcockinternational.com/?utm_source=babcock&#038;utm_medium=international_website&%23038;utm_campaign=internal_redirect/?utm_source=babcock&%23038;utm_medium=international_website&%23038;utm_campaign=internal_redirect/,
Babcock International,babcockinternational.com,2,successfactors,performancemanager5,,-1,no,https://jobs.babcockinternational.com/search/,
Babcock International,babcockinternational.com,2,successfactors,rmkcdn,,-1,no,https://jobs.babcockinternational.com/search/,
Babcock International,babcockinternational.com,2,teamtailor,babcock,,13,yes,api-probe,
Bentley Motors,bentleymotors.com,2,successfactors,performancemanager5,,-1,no,https://careers.bentleymotors.com/?source=bentleymotors.com,
Bentley Motors,bentleymotors.com,2,successfactors,career5,,-1,no,https://careers.bentleymotors.com/?source=bentleymotors.com,
Bentley Motors,bentleymotors.com,2,personio,bentley,,10,no,api-probe,
Jaguar Land Rover,jaguarlandrover.com,2,successfactors,career5,,-1,no,https://careers.jaguarlandrover.com/,
Jaguar Land Rover,jaguarlandrover.com,2,personio,jaguar,,3,no,api-probe,
Johnson Matthey,matthey.com,2,workday,matthey,wd3/Ext_Career_Site,137,yes,https://matthey.com/,
Johnson Matthey,matthey.com,2,personio,johnson,,3,no,api-probe,
National Grid,nationalgrid.com,2,greenhouse,national,,7,yes,api-probe,
Renishaw,renishaw.com,2,workday,renishaw,wd3/Renishaw,79,yes,https://www.renishaw.com/en/careers--6417,
Smith and Nephew,smith-nephew.com,2,workday,smithnephew,wd5/External,353,yes,https://www.smith-nephew.com/en/careers,
Smith and Nephew,smith-nephew.com,2,bamboohr,smith,,3,RESTRICTED,api-probe,
United Utilities,unitedutilities.com,2,teamtailor,united,,15,yes,api-probe,
Accenture UK,accenture.com,3,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/cz-en/careers,
Accenture UK,accenture.com,3,recruitee,accenture,,2,yes,api-probe,
Alan Turing Institute,turing.ac.uk,3,greenhouse,turing,,24,yes,api-probe,
Alan Turing Institute,turing.ac.uk,3,ashby,alan,,91,yes,api-probe,
BBC,bbc.co.uk,3,recruitee,bbc,,7,yes,api-probe,
Currys,currysplc.com,3,successfactors,performancemanager5,,-1,no,https://curryscareers.co.uk/,
Currys,currysplc.com,3,successfactors,rmkcdn,,-1,no,https://curryscareers.co.uk/,
Currys,currysplc.com,3,successfactors,career5,,-1,no,https://curryscareers.co.uk/,
Deloitte UK,deloitte.co.uk,3,workday,deloitteie,wd3/Experienced_Professionals,64,yes,https://www.deloitte.com/global/en/careers/job-search.html,
Deloitte UK,deloitte.co.uk,3,lever,deloitte,,-1,yes,https://www.deloitte.com/global/en/careers/job-search.html,
Deloitte UK,deloitte.co.uk,3,smartrecruiters,deloitte6,,-1,yes,https://www.deloitte.com/global/en/careers/job-search.html,
Deloitte UK,deloitte.co.uk,3,successfactors,career4,,-1,no,https://www.deloitte.com/global/en/careers/job-search.html,
Deloitte UK,deloitte.co.uk,3,successfactors,career2,,-1,no,https://www.deloitte.com/global/en/careers/job-search.html,
Deloitte UK,deloitte.co.uk,3,successfactors,career19,,-1,no,https://www.deloitte.com/global/en/careers/job-search.html,
EY UK,ey.com,3,teamio,ey,,-1,RESTRICTED,https://www.ey.com/cs_cz,
EY UK,ey.com,3,recruitee,ey,,3,yes,api-probe,
John Lewis Partnership,johnlewispartnership.co.uk,3,workday,jlp,wd3/JLPjobs_careers,94,yes,https://www.jlpjobs.com/,
Marks and Spencer,marksandspencer.com,3,oraclecloud,fa-eqid-saasfaprod1,ocs/CX_1,694,yes,https://jobs.marksandspencer.com/,
Ocado Group,ocadogroup.com,3,greenhouse,ocadogroup,,51,yes,api-probe,
University of Cambridge,cam.ac.uk,3,bamboohr,cam,,2,RESTRICTED,api-probe,
Wellcome Trust,wellcome.org,3,teamtailor,wellcome,,2,yes,api-probe,
Wellcome Trust,wellcome.org,3,bamboohr,wellcome,,1,RESTRICTED,api-probe,
