company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Betsson Malta,betssongroup.com,1,greenhouse,betsson,,126,yes,api-probe,
Bitrise,bitrise.io,1,bamboohr,bitrise,,8,RESTRICTED,api-probe,
Blueground,theblueground.com,1,workable,j,,-1,yes,https://www.theblueground.com/careers,
Blueground,theblueground.com,1,workable,blueground,,27,yes,api-probe,
Chaos Group,chaos.com,1,recruitee,chaos,,15,yes,api-probe,
Epignosis,epignosishq.com,1,workable,epignosis,,4,yes,api-probe,
Hellas Direct,hellasdirect.gr,1,workable,hellasdirect,,7,yes,https://www.hellasdirect.gr/kariera,
Infobip,infobip.com,1,workday,infobip,wd3/InfobipCareers,149,yes,https://www.infobip.com/careers,
Kaizen Gaming,kaizengaming.com,1,greenhouse,kaizengaming,,86,yes,api-probe,
Nanobit,nanobit.com,1,bamboohr,nanobit,,-1,RESTRICTED,https://nanobit.com/,
Nanobit,nanobit.com,1,teamtailor,nanobit,,1,yes,api-probe,
Orfium,orfium.com,1,workable,j,,-1,yes,https://www.orfium.com/careers/,
Orfium,orfium.com,1,workable,orfium,,21,yes,api-probe,
Outfit7,outfit7.com,1,greenhouse,outfit7,,16,yes,api-probe,
Payhawk,payhawk.com,1,personio,payhawk,,3,no,api-probe,
Payhawk,payhawk.com,1,bamboohr,payhawk,,4,RESTRICTED,api-probe,
Persado,persado.com,1,workable,persado,,3,yes,https://www.persado.com/,
Prezi,prezi.com,1,bamboohr,prezi,,4,RESTRICTED,https://prezi.com/jobs/,
Rimac Technology,rimac-technology.com,1,successfactors,career2,,-1,no,https://careers.rimac-group.com/,
SEON,seon.io,1,ashby,seon,,6,yes,https://seon.io/careers/,
Shapr3D,shapr3d.com,1,ashby,shapr3d,,4,yes,api-probe,
SiteGround,siteground.com,1,lever,siteground,,2,yes,https://careers.siteground.com/,
Skroutz,skroutz.gr,1,workable,skroutz,,10,yes,api-probe,
Span,span.eu,1,ashby,span,,35,yes,api-probe,
Viva Wallet,vivawallet.com,1,workable,viva,,40,yes,api-probe,
