company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Iubenda,iubenda.com,1,teamtailor,teambluebulgaria,,-1,no,https://careers.iubenda.com/,
Iubenda,iubenda.com,1,teamtailor,teamblueczech,,-1,no,https://careers.iubenda.com/,
Iubenda,iubenda.com,1,teamtailor,teambluefinland,,-1,no,https://careers.iubenda.com/,
Iubenda,iubenda.com,1,teamtailor,tt,,-1,no,https://careers.iubenda.com/,
Moneyfarm,moneyfarm.com,1,workable,moneyfarm,,14,yes,https://www.moneyfarm.com/uk/jobs/,
Musixmatch,musixmatch.com,1,lever,musixmatch,,6,yes,api-probe,
Prima Assicurazioni,prima.it,1,personio,prima-assicurazioni,,77,no,api-probe,
Satispay,satispay.com,1,ashby,satispay,,88,yes,api-probe,
Scalapay,scalapay.com,1,lever,scalapay,,-1,yes,https://www.scalapay.com/careers,
Talent Garden,talentgarden.com,1,greenhouse,talent,,2,yes,api-probe,
Talent Garden,talentgarden.com,1,recruitee,talent,,2,yes,api-probe,
Talent Garden,talentgarden.com,1,bamboohr,talentgarden,,8,RESTRICTED,api-probe,
Cerved,cerved.com,2,workday,cerved,wd3/Cerved,40,yes,https://cerved.com/,
Engineering Ingegneria Informatica,eng.it,2,workday,eng,wd3/ExternalCareers,71,yes,https://www.eng.it/en/careers/recruitment-journey,
Intesa Sanpaolo,intesasanpaolo.com,2,successfactors,performancemanager,,-1,no,https://jobs.intesasanpaolo.com/,
Intesa Sanpaolo,intesasanpaolo.com,2,successfactors,career2,,-1,no,https://jobs.intesasanpaolo.com/,
Leonardo,leonardo.com,2,workday,leonardocompany,wd3/LeonardoCareerSite,686,yes,https://www.leonardo.com/en/careers/students-and-graduates,
Mia-Platform,mia-platform.eu,2,recruitee,miaplatform,,5,yes,api-probe,
Nexi,nexigroup.com,2,oraclecloud,fa-ewwx-saasfaprod1,ocs/CX_1,82,yes,https://www.nexigroup.com/en/people/careers/career-path/,
Pirelli,pirelli.com,2,successfactors,career5,,-1,no,https://corporate.pirelli.com/corporate/en-ww/careers/work-with-us,
Prysmian,prysmian.com,2,workday,prysmiangroup,wd3/Careers,572,yes,https://www.prysmian.com/en/people-and-careers/why-prysmian/diversity-equity-and-inclusion,
Reply,reply.com,2,lever,reply,,39,yes,api-probe,
TeamSystem,teamsystem.com,2,workday,teamsystem,wd103/TeamSystem,49,yes,https://www.teamsystem.com:443/careers/,
Amplifon,amplifon.com,3,oraclecloud,efuf,em2,696,yes,https://careers.amplifon.com/en/sites/CX_1,
Angelini,angelinipharma.com,3,successfactors,performancemanager,,-1,no,https://careers.angelinipharma.com/?locale=en_US,
Angelini,angelinipharma.com,3,successfactors,rmkcdn,,-1,no,https://careers.angelinipharma.com/?locale=en_US,
Angelini,angelinipharma.com,3,successfactors,career2,,-1,no,https://careers.angelinipharma.com/?locale=en_US,
Armani,armani.com,3,successfactors,career5,,-1,no,https://www.armani.com/en-cz/,
Bracco,bracco.com,3,workday,bracco,wd103/BraccoCareers,109,yes,https://www.bracco.com/careers,
Chiesi,chiesi.com,3,successfactors,performancemanager,,-1,no,https://careers.chiesi.com/?locale=it_IT,
Chiesi,chiesi.com,3,successfactors,career2,,-1,no,https://careers.chiesi.com/?locale=it_IT,
Chiesi,chiesi.com,3,successfactors,rmkcdn,,-1,no,https://careers.chiesi.com/?locale=it_IT,
Datalogic,datalogic.com,3,successfactors,career2,,-1,no,https://www.datalogic.com/eng/company/careers-ca-26.html,
De Longhi,delonghigroup.com,3,recruitee,delonghigroup,,5,yes,api-probe,
Esselunga,esselunga.it,3,successfactors,performancemanager5,,-1,no,https://esselungajob.it/content/VIrtual_Job_Day/?locale=it_IT&utm_source=careersite&utm_campaign=Sito-istituzionale-Esselunga-footer-eventi-di-recruiting,
Esselunga,esselunga.it,3,successfactors,rmkcdn,,-1,no,https://esselungajob.it/content/VIrtual_Job_Day/?locale=it_IT&utm_source=careersite&utm_campaign=Sito-istituzionale-Esselunga-footer-eventi-di-recruiting,
Esselunga,esselunga.it,3,successfactors,career5,,-1,no,https://esselungajob.it/content/VIrtual_Job_Day/?locale=it_IT&utm_source=careersite&utm_campaign=Sito-istituzionale-Esselunga-footer-eventi-di-recruiting,
Ferrero,ferrero.com,3,successfactors,career5,,-1,no,https://www.ferrerocareers.com/int/en/,
IMA Group,ima.it,3,successfactors,performancemanager,,-1,no,https://careers.imagroup.com/,
IMA Group,ima.it,3,successfactors,rmkcdn,,-1,no,https://careers.imagroup.com/,
IMA Group,ima.it,3,successfactors,career2,,-1,no,https://careers.imagroup.com/,
Illycaffe,illy.com,3,oraclecloud,hdbs,em2/CX_1001,3,yes,https://www.illy.com/kariera,
Lavazza,lavazza.com,3,successfactors,performancemanager5,,-1,no,https://jobs.lavazza.com/?locale=en,
Lavazza,lavazza.com,3,successfactors,rmkcdn,,-1,no,https://jobs.lavazza.com/?locale=en,
Lavazza,lavazza.com,3,successfactors,career5,,-1,no,https://jobs.lavazza.com/?locale=en,
Menarini,menarini.com,3,icims,careers-stemline,,-1,no,https://www.menarini.com/en-us/careers/available-positions.html,
Menarini,menarini.com,3,icims,careersus-stemline,,-1,no,https://www.menarini.com/en-us/careers/available-positions.html,
OTB Group,otb.net,3,successfactors,performancemanager,,-1,no,https://careers.otb.net/,
OTB Group,otb.net,3,successfactors,rmkcdn,,-1,no,https://careers.otb.net/,
OTB Group,otb.net,3,successfactors,career2,,-1,no,https://careers.otb.net/,
OTB Group,otb.net,3,successfactors,career2preview,,-1,no,https://careers.otb.net/,
