company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Ammagamma,ammagamma.com,1,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/it-it/careers,
Docebo,docebo.com,1,ashby,docebo,,53,yes,api-probe,
Expert.ai,expert.ai,1,bamboohr,expertai,,5,RESTRICTED,https://www.expert.ai/careers/,
Indigo.ai,indigo.ai,1,greenhouse,indigo,,3,yes,api-probe,
Kong,konghq.com,1,ashby,kong,,91,yes,https://konghq.com/company/careers,
Musement,musement.com,1,successfactors,career5,,-1,no,https://careers.tuigroup.com/en/search-jobs,
Nozomi Networks,nozominetworks.com,1,greenhouse,nozominetworks,,23,yes,https://www.nozominetworks.com/company/careers,
Nozomi Networks,nozominetworks.com,1,bamboohr,nozominetworks,,1,RESTRICTED,api-probe,
Serenis,serenis.it,1,ashby,serenis,,5,yes,api-probe,
Switcho,switcho.it,1,recruitee,switchojob,,4,yes,https://www.switcho.it/,
Sysdig,sysdig.com,1,lever,sysdig,,13,yes,api-probe,
Unobravo,unobravo.com,1,teamtailor,unobravointernational,,4,yes,https://www.unobravo.com/,
WeRoad,weroad.it,1,teamtailor,weroad,,19,yes,https://career.weroad.travel/,
Bip,bip-group.com,2,oraclecloud,fa-etjb-saasfaprod1,ocs/CX_1,367,yes,https://www.bip-group.com/job-openings,
CNH Industrial,cnh.com,2,successfactors,hcm55,,-1,no,https://join.cnh.com/,
CNH Industrial,cnh.com,2,successfactors,rmkcdn,,-1,no,https://join.cnh.com/,
CNH Industrial,cnh.com,2,successfactors,career55,,-1,no,https://join.cnh.com/,
Marelli,marelli.com,2,jobvite,marelli,,-1,no,https://marelli.com/en/careers/join-us.html,
NTT Data Italia,nttdata.com,2,bamboohr,nttdata,,4,RESTRICTED,api-probe,
Telespazio,telespazio.com,2,workday,leonardocompany,wd3/LeonardoCareerSite,702,yes,https://www.telespazio.com/en/careers/job-opportunities,
Webuild,webuildgroup.com,2,successfactors,performancemanager5,,-1,no,https://jobs.webuildgroup.com/content/Lavora-con-noi-nel-Mondo/?locale=it_IT,
Webuild,webuildgroup.com,2,successfactors,career5,,-1,no,https://jobs.webuildgroup.com/content/Lavora-con-noi-nel-Mondo/?locale=it_IT,
A2A,a2a.eu,3,oraclecloud,hdeh,em3/CX_1,53,yes,https://www.gruppoa2a.it/it/home,
Aeroporti di Roma,adr.it,3,oraclecloud,iacrgs,ocs,20,yes,https://iacrgs.fa.ocs.oraclecloud.com:443/hcmUI/CandidateExperience/it/sites/CX_1/,
Golden Goose,goldengoose.com,3,oraclecloud,iaagmj,ocs/GG,58,yes,https://we.goldengoose.com/talent/work-with-us/,
Max Mara,maxmara.com,3,recruitee,max,,2,yes,api-probe,
Max Mara,maxmara.com,3,personio,max,,3,no,api-probe,
Mondadori,mondadorigroup.com,3,oraclecloud,eizj,em2/CX,5,yes,https://www.mondadorigroup.com/,
