company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Aerones,aerones.com,1,workable,j,,-1,yes,https://aerones.com/company-2/careers/,
Aerones,aerones.com,1,workable,aerones,,50,yes,https://aerones.com/company-2/careers/,
LMT,lmt.lv,1,teamtailor,lmt,,10,yes,api-probe,
Lokalise,lokalise.com,1,greenhouse,lokalise,,5,yes,api-probe,
Printify,printify.com,1,teamtailor,printfulinc,,36,yes,https://careers.fyul.com,
Tet,tet.lv,1,teamtailor,tet,,33,yes,api-probe,
Tilde,tilde.com,1,smartrecruiters,oneclick-ui,,-1,yes,https://tilde.ai/career/,
Bite Latvija,bite.lv,2,ashby,bite,,2,yes,api-probe,
Bite Latvija,bite.lv,2,teamtailor,bitelatvija,,13,yes,api-probe,
DPA,dpa.lv,2,personio,dpa,,18,no,api-probe,
Grid Dynamics Latvia,griddynamics.com,2,recruitee,grid,,8,yes,api-probe,
Grid Dynamics Latvia,griddynamics.com,2,bamboohr,griddynamics,,2,RESTRICTED,api-probe,
SAF Tehnika,saftehnika.com,2,bamboohr,saf,,2,RESTRICTED,api-probe,
Accenture Latvia,accenture.com,3,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/cz-en/careers,
Accenture Latvia,accenture.com,3,recruitee,accenture,,2,yes,api-probe,
Baltic International Bank,bib.eu,3,personio,bib,,3,no,api-probe,
Maxima Latvija,maxima.lv,3,ashby,maxima,,24,yes,api-probe,
Rimi Latvia,rimi.lv,3,teamtailor,rimilatvia,,100,yes,api-probe,
Tietoevry Latvia,tietoevry.com,3,smartrecruiters,my-applications,,-1,yes,https://careers.tieto.com/,
