company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Bunq,bunq.com,1,recruitee,bunq,,18,yes,api-probe,
Bynder,bynder.com,1,ashby,bynder,,24,yes,api-probe,
Castor,castoredc.com,1,bamboohr,castoredc,,1,RESTRICTED,api-probe,
Channable,channable.com,1,recruitee,channable,,13,yes,api-probe,
Channable,channable.com,1,personio,channable,,1,no,api-probe,
Cybersprint,cybersprint.nl,1,workday,darktrace,wd3/DarktaceExternal,76,yes,https://www.darktrace.com/careers,
Dashmote,dashmote.com,1,recruitee,careers-analytics,,-1,yes,https://jobs.dashmote.com/,
Dashmote,dashmote.com,1,recruitee,dashmote,,4,yes,api-probe,
Datasnipper,datasnipper.com,1,ashby,datasnipper,,29,yes,api-probe,
Eye Security,eye.security,1,ashby,eye-security,,23,yes,https://eye.security/careers/,
Framer,framer.com,1,personio,framer,,2,no,api-probe,
Miro Amsterdam,miro.com,1,ashby,miro,,47,yes,api-probe,
Nedap,nedap.com,1,bamboohr,nedap,,4,RESTRICTED,api-probe,
Nmbrs,nmbrs.com,1,recruitee,nmbrs,,3,yes,api-probe,
Ohpen,ohpen.com,1,personio,ohpen,,9,no,api-probe,
Recharge,rechargepayments.com,1,ashby,recharge,,3,yes,https://getrecharge.com/careers/,yes
Silverflow,silverflow.com,1,personio,silverflow,,3,no,https://www.silverflow.com/career,
StuDocu,studocu.com,1,recruitee,careers-analytics,,-1,yes,https://jobs.studocu.com/,
ASM International,asm.com,2,greenhouse,asm,,429,yes,api-probe,
ASM International,asm.com,2,recruitee,asm,,11,yes,api-probe,
Lightyear,lightyear.one,2,teamtailor,lightyear,,1,yes,api-probe,
Nearfield Instruments,nearfieldinstruments.com,2,recruitee,nearfieldinstruments,,1,yes,api-probe,
Photonfirst,photonfirst.com,2,personio,photonfirst,,3,no,api-probe,
Salland Engineering,salland.com,2,recruitee,careers-analytics,,-1,yes,https://careersatsallandengineering.com/,
Salland Engineering,salland.com,2,recruitee,sallandengineering,,6,yes,api-probe,
Signify,signify.com,2,workday,lighting,wd3/jobs-and-careers,233,yes,https://www.careers.signify.com/global/en,
Sioux Technologies,sioux.eu,2,recruitee,sioux,,20,yes,api-probe,
VDL Groep,vdlgroep.com,2,bamboohr,vdl,,11,RESTRICTED,api-probe,
Action,action.com,3,greenhouse,action,,11,yes,api-probe,
Ahold Delhaize,aholddelhaize.com,3,teamio,albert,,-1,RESTRICTED,https://aholddelhaize.com/careers/,
Damen Shipyards,damen.com,3,workday,damen,wd3/Damen_Careers,128,yes,https://career.damen.com/,
Fugro,fugro.com,3,workday,fugro,wd3/Careers,132,yes,https://www.fugro.com/careers,
NS Nederlandse Spoorwegen,ns.nl,3,bamboohr,ns,,22,RESTRICTED,api-probe,
Randstad,randstad.com,3,personio,randstad,,8,no,api-probe,
Royal HaskoningDHV,royalhaskoningdhv.com,3,personio,royal,,2,no,api-probe,
Royal HaskoningDHV,royalhaskoningdhv.com,3,bamboohr,royal,,6,RESTRICTED,api-probe,
