company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Airthings,airthings.com,1,bamboohr,airthings,,3,RESTRICTED,https://www.airthings.com/company/careers,
Aize,aize.io,1,teamtailor,aize,,0,yes,https://careers.aize.io/,
Ardoq,ardoq.com,1,teamtailor,ardoq,,8,yes,api-probe,
Attensi,attensi.com,1,teamtailor,attensi,,10,yes,api-probe,
AutoStore,autostoresystem.com,1,workday,autostore,wd3/autostore,26,yes,https://www.autostoresystem.com/careers,
Bekk,bekk.no,1,lever,bekk,,22,yes,api-probe,
Boost.ai,boost.ai,1,workable,boost,,2,yes,api-probe,
Cognite,cognite.com,1,greenhouse,cognite,,51,yes,api-probe,
Crayon,crayon.com,1,workable,crayon,,3,yes,api-probe,
DNB,dnb.no,1,lever,dnb,,133,yes,api-probe,
DNV,dnv.com,1,oraclecloud,ecyq,em2/CX_1,205,yes,https://jobs.dnv.com/,
Disruptive Technologies,disruptive-technologies.com,1,bamboohr,disruptive,,1,RESTRICTED,https://www.disruptive-technologies.com:443/about#career,
Dune,dune.com,1,ashby,dune,,3,yes,api-probe,
Easee,easee.com,1,teamtailor,easee,,4,yes,api-probe,
Equinor,equinor.com,1,workday,equinor,wd3/EQNR,12,yes,https://www.equinor.com/careers,
Gelato,gelato.com,1,ashby,gelato,,8,yes,api-probe,
Huddly,huddly.com,1,bamboohr,huddly,,6,RESTRICTED,api-probe,
Kahoot,kahoot.com,1,workable,kahoot,,11,yes,api-probe,
Nordic Semiconductor,nordicsemi.com,1,teamtailor,nordicsemiconductor,,14,yes,api-probe,
Nordic Semiconductor,nordicsemi.com,1,personio,nordic,,2,no,api-probe,
Oda,oda.com,1,teamtailor,tt,,-1,yes,https://careers.oda.com/,
Otovo,otovo.no,1,recruitee,careers-analytics,,-1,yes,https://careers.otovo.com/,
Otovo,otovo.no,1,recruitee,otovo,,23,yes,api-probe,
Puzzel,puzzel.com,1,teamtailor,puzzel,,3,yes,https://www.puzzel.com/,
Sanity,sanity.io,1,ashby,sanity,,25,yes,api-probe,
Schibsted,schibsted.com,1,teamtailor,schibsted,,21,yes,https://schibsted.com/career/,
Signicat,signicat.com,1,teamtailor,signicat,,7,yes,https://www.signicat.com/about/careers,
Strise,strise.ai,1,workable,strise,,1,yes,api-probe,
Vev,vev.design,1,workable,vev,,0,yes,https://www.vev.design/careers/,
Vipps MobilePay,vippsmobilepay.com,1,teamtailor,vipps,,7,yes,api-probe,
Visma,visma.com,1,recruitee,khonraad,,3,yes,https://www.visma.com/careers/open-positions,
Visma,visma.com,1,teamtailor,vismaamilias,,1,yes,https://www.visma.com/careers/open-positions,
Visma,visma.com,1,teamtailor,vismafinland,,3,yes,https://www.visma.com/careers/open-positions,
Visma,visma.com,1,teamtailor,vismasoftwareinternationalas,,5,yes,https://www.visma.com/careers/open-positions,
Visma,visma.com,1,teamtailor,vismaenterpriseab,,2,yes,https://www.visma.com/careers/open-positions,
Visma,visma.com,1,teamtailor,vismacc,,3,yes,https://www.visma.com/careers/open-positions,
Volue,volue.com,1,teamtailor,volue,,13,yes,api-probe,
Whereby,whereby.com,1,lever,whereby,,1,yes,https://whereby.com/information/careers/,
reMarkable,remarkable.com,1,teamtailor,remarkable,,13,yes,api-probe,
Aker BP,akerbp.com,2,teamtailor,akerbp,,11,yes,api-probe,
FINN,finn.no,2,lever,finn,,33,yes,api-probe,
Itera,itera.com,2,teamtailor,iteradenmark,,0,yes,https://www.itera.com/en/join-us,
Itera,itera.com,2,teamtailor,iterasweden,,0,yes,https://www.itera.com/en/join-us,
Itera,itera.com,2,teamtailor,iteraiceland,,0,yes,https://www.itera.com/en/join-us,
Itera,itera.com,2,teamtailor,itera,,13,yes,api-probe,
Jotun,jotun.com,2,workday,jotun,wd3/Jotun_careers,36,yes,https://www.jotun.com/cz-en,
Jotun,jotun.com,2,teamtailor,jotun,,11,yes,api-probe,
Kongsberg Digital,kongsbergdigital.com,2,teamtailor,kongsbergdigital,,18,yes,api-probe,
