company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
11 bit studios,11bitstudios.com,1,recruitee,11bitstudios,,3,yes,api-probe,
Booksy,booksy.com,1,workable,booksy-1,,-1,yes,https://booksy.com/kariera/,
Brainly,brainly.com,1,ashby,brainly,,1,yes,api-probe,
CD Projekt,cdprojekt.com,1,smartrecruiters,cdprojektred,,-1,yes,https://www.cdprojektred.com/pl/jobs,
CD Projekt,cdprojekt.com,1,bamboohr,cd,,4,RESTRICTED,api-probe,
Docplanner,docplanner.com,1,ashby,docplanner,,26,yes,api-probe,
Edrone,edrone.me,1,teamtailor,edrone,,-1,no,https://edrone.me/,
GetResponse,getresponse.com,1,workable,getresponse,,-1,yes,https://www.getresponse.com/,
LiveChat,livechat.com,1,lever,livechatinc,,-1,yes,https://www.livechat.com/careers/,
Netguru,netguru.com,1,workable,netguru,,-1,yes,https://www.netguru.com/,
Nomagic,nomagic.ai,1,lever,nomagic,,-1,yes,https://nomagic.ai/careers/,
Objectivity,objectivity.co.uk,1,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/us-en/careers,
Packhelp,packhelp.com,1,bamboohr,packhelp,,-1,RESTRICTED,https://packhelp.com/careers/open-positions/,
RTB House,rtbhouse.com,1,greenhouse,rtbhouse,,67,yes,api-probe,
Ramp Network,ramp.network,1,ashby,ramp,,120,yes,api-probe,
Tylko,tylko.com,1,recruitee,tylko,,13,yes,https://tylko.com/en-cz,
Accenture Polska,accenture.com,2,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/cz-en/careers,
Accenture Polska,accenture.com,2,recruitee,accenture,,2,yes,api-probe,
BNY Mellon Poland,bny.com,2,oraclecloud,eofe,us2/BNY-Careers,1532,yes,https://www.bny.com/corporate/global/en.html,
Blue Media,bluemedia.pl,2,lever,blue,,10,yes,api-probe,
Blue Media,bluemedia.pl,2,bamboohr,blue,,1,RESTRICTED,api-probe,
Bosch Polska,bosch.pl,2,smartrecruiters,boschgroup,,-1,yes,https://www.bosch.pl/,
CCC,ccc.eu,2,recruitee,ccc,,1,yes,api-probe,
Citi Poland,citigroup.com,2,workday,citi,wd5/2,2000,yes,https://jobs.citi.com/,
Infosys Poland,infosysbpm.com,2,bamboohr,infosys,,4,RESTRICTED,api-probe,
Man Trucks Poland,man.eu,2,successfactors,performancemanager5,,-1,no,https://jobs.man.eu/,
Man Trucks Poland,man.eu,2,successfactors,rmkcdn,,-1,no,https://jobs.man.eu/,
Man Trucks Poland,man.eu,2,successfactors,career5,,-1,no,https://jobs.man.eu/,
Motorola Solutions Polska,motorolasolutions.com,2,workday,motorolasolutions,wd5/Careers,927,yes,https://www.motorolasolutions.com/en_xu/about/careers.html,
Nationale-Nederlanden,nn.pl,2,workday,nngroup,wd3/WDExternal,218,yes,https://www.nn.pl/kariera,
Ocado Technology,ocadogroup.com,2,greenhouse,ocadogroup,,52,yes,api-probe,
Preply,preply.com,2,ashby,preply,,117,yes,api-probe,
Sabre Polska,sabre.com,2,bamboohr,sabre,,1,RESTRICTED,api-probe,
Samsung R&D Poland,samsung.com,2,recruitee,samsung,,1,yes,api-probe,
State Street Poland,statestreet.com,2,workday,statestreet,wd1/Global,1173,yes,https://careers.statestreet.com/global/en,
Amazon Poland,amazon.jobs,3,personio,amazon,,3,no,api-probe,
Bloober Team,blooberteam.com,3,recruitee,blooberteam,,3,yes,https://www.blooberteam.com,
DPD Polska,dpd.com.pl,3,recruitee,dpd,,14,yes,api-probe,
Divante,divante.com,3,workday,cloudflight,wd103/external_career_site,14,yes,https://divante.com/en,
Divante,divante.com,3,personio,divante,,4,no,api-probe,
Espeo Software,espeo.eu,3,recruitee,career,,-1,yes,https://espeo.eu/career/,
Espeo Software,espeo.eu,3,recruitee,espeo,,6,yes,api-probe,
Huuuge Games,huuuugegames.com,3,recruitee,huuuge,,8,yes,api-probe,
Ideo,ideo.pl,3,greenhouse,ideo,,16,yes,api-probe,
Jeronimo Martins Polska,jeronimomartins.com,3,successfactors,hcm55,,-1,no,https://careers.jeronimomartins.com/search/?locale=pt_PT&q=&locationsearch=,
Jeronimo Martins Polska,jeronimomartins.com,3,successfactors,career55,,-1,no,https://careers.jeronimomartins.com/search/?locale=pt_PT&q=&locationsearch=,
Miquido,miquido.com,3,bamboohr,miquido,,11,RESTRICTED,api-probe,
Nordea Poland,nordea.com,3,successfactors,performancemanager5,,-1,no,https://careers.nordea.com/,
Nordea Poland,nordea.com,3,successfactors,rmkcdn,,-1,no,https://careers.nordea.com/,
Nordea Poland,nordea.com,3,successfactors,career5,,-1,no,https://careers.nordea.com/,
People Can Fly,peoplecanfly.com,3,smartrecruiters,peoplecanfly,,-1,yes,https://peoplecanfly.com/,
People Can Fly,peoplecanfly.com,3,bamboohr,people,,1,RESTRICTED,api-probe,
SAS Poland,sas.com,3,greenhouse,sas,,6,yes,api-probe,
Schneider Electric Polska,se.com,3,bamboohr,schneider,,9,RESTRICTED,api-probe,
Signify Poland,signify.com,3,workday,lighting,wd3/jobs-and-careers,240,yes,https://www.careers.signify.com/global/en,
Solaris Bus,solarisbus.com,3,bamboohr,solaris,,3,RESTRICTED,api-probe,
Ten Square Games,tensquaregames.com,3,recruitee,tensquaregames,,9,yes,api-probe,
Ten Square Games,tensquaregames.com,3,personio,ten,,3,no,api-probe,
Wirtualna Polska,wp.pl,3,recruitee,wp,,1,yes,api-probe,
Zowie,getzowie.com,3,ashby,zowie,,9,yes,api-probe,
