company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Adform,adform.com,1,teamtailor,adform,,12,yes,api-probe,
Blip,blip.pt,1,workday,flutterbe,wd3/Blip_External,18,yes,https://www.blip.pt/jobs/jr139906/senior-platform-engineer/,yes
Blip,blip.pt,1,greenhouse,blip,,2,yes,api-probe,yes
Bondora,bondora.group,1,greenhouse,bondora,,10,yes,api-probe,
Celfocus,celfocus.com,1,teamtailor,celfocus,,6,yes,api-probe,
Critical Manufacturing,criticalmanufacturing.com,1,workable,critical-manufacturing,,22,yes,https://careers.criticalmanufacturing.com/?utm_source=site_cm&utm_medium=botao&utm_campaign=botao_menu_site_cm&utm_id=site_cm,
Hovione,hovione.com,1,icims,en-careers-hovione,,-1,no,https://careers.hovione.com/en,
Inbank,inbank.ee,1,greenhouse,inbank,,14,yes,api-probe,
Light Conversion,lightcon.com,1,ashby,light,,8,yes,api-probe,
MailerLite,mailerlite.com,1,recruitee,mailerlite,,4,yes,api-probe,
Milrem Robotics,milremrobotics.com,1,teamtailor,milrem,,4,yes,api-probe,
Mindera,mindera.com,1,workable,j,,-1,yes,https://mindera.com/careers,
NanoAvionics,nanoavionics.com,1,personio,nanoavionics,,6,no,api-probe,
Nutrium,nutrium.com,1,teamtailor,nutrium,,6,yes,api-probe,
Omnisend,omnisend.com,1,lever,omnisend,,11,yes,api-probe,
Pactum,pactum.com,1,bamboohr,pactum,,1,RESTRICTED,api-probe,
Surfshark,surfshark.com,1,ashby,surfshark,,22,yes,api-probe,
Xpand IT,xpand-it.com,1,teamtailor,xpandit,,11,yes,api-probe,
Adcash,adcash.com,2,teamtailor,adcash,,7,yes,api-probe,
Bite Lietuva,bite.lt,2,ashby,bite,,2,yes,api-probe,
CEiiA,ceiia.com,2,smartrecruiters,ceiia,,-1,yes,https://www.ceiia.com/,
Greenvolt,greenvolt.com,2,workable,greenvolt,,64,yes,api-probe,
Northway Biotech,northwaybiotech.com,2,teamtailor,northway,,4,yes,api-probe,
Ubiwhere,ubiwhere.com,2,bamboohr,ubiwhere,,-1,RESTRICTED,https://ubiwhere.com/home/ubiwhere/public_html/en/home,
Active Space Technologies,activespacetech.com,3,bamboohr,active,,2,RESTRICTED,api-probe,
Imaginary Cloud,imaginarycloud.com,3,teamtailor,imaginarycloud,,10,yes,api-probe,
Link Consulting,linkconsulting.com,3,greenhouse,link,,22,yes,api-probe,
Metasite,metasite.net,3,lever,metasite,,3,yes,https://metasite.net/careers,
NRD Companies,nrdcompanies.com,3,teamtailor,nrd,,3,yes,api-probe,
Ridango,ridango.com,3,bamboohr,ridango,,8,RESTRICTED,https://www.ridango.com/careers/,
Zenitech,zenitech.co.uk,3,teamtailor,zenitech,,6,yes,api-probe,
