company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Amber Studio,amberstudio.com,1,jobvite,amberstudiocareers,,-1,no,https://amberstudio.com/,
Amber Studio,amberstudio.com,1,ashby,amber,,22,yes,api-probe,
Arobs,arobs.com,1,icims,careers-arobs,,-1,no,https://arobs.com/en/careers-at-arobs/,
FintechOS,fintechos.com,1,bamboohr,fintechos,,4,RESTRICTED,api-probe,
Zitec,zitec.com,1,teamtailor,zitec,,10,yes,api-probe,
Electronic Arts,ea.com,2,bamboohr,ea,,3,RESTRICTED,api-probe,
Endava,endava.com,2,icims,jobs-galaxe,,-1,no,https://www.endava.com/careers/jobs,
Gameloft,gameloft.com,2,smartrecruiters,gameloft,,-1,yes,https://www.gameloft.com/careers,
Genpact,genpact.com,2,workday,genpact,wd108/External_Careers,2000,yes,https://www.genpact.com/careers/who-we-are,
Playtech,playtech.com,2,smartrecruiters,playtech,,-1,yes,https://www.playtechpeople.com/jobs-our/,
Wipro,wipro.com,2,successfactors,hcm55,,-1,no,https://careers.wipro.com/,
Wipro,wipro.com,2,successfactors,rmkcdn,,-1,no,https://careers.wipro.com/,
Wipro,wipro.com,2,successfactors,career55,,-1,no,https://careers.wipro.com/,
Yonder,tss-yonder.com,2,teamtailor,yonder,,3,yes,api-probe,
