company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Anyfin,anyfin.com,1,teamtailor,anyfin,,8,yes,api-probe,
Atlas Copco,atlascopco.com,1,ashby,atlas,,6,yes,api-probe,
Atlas Copco,atlascopco.com,1,personio,atlas,,10,no,api-probe,
Atlas Copco,atlascopco.com,1,bamboohr,atlas,,25,RESTRICTED,api-probe,
Avalanche Studios,avalanchestudios.com,1,lever,avalanchestudios,,16,yes,api-probe,
Axis Communications,axis.com,1,workday,axis,wd3/External_Career_Site,102,yes,https://www.axis.com/,
Axis Communications,axis.com,1,teamtailor,axis,,2,yes,api-probe,
Bokio,bokio.se,1,teamtailor,bokio,,0,yes,https://www.bokio.se/jobs/,
Detectify,detectify.com,1,teamtailor,detectify,,4,yes,api-probe,
Epidemic Sound,epidemicsound.com,1,ashby,epidemic-sound,,18,yes,https://www.epidemicsound.com/careers/,
Epidemic Sound,epidemicsound.com,1,bamboohr,epidemicsound,,1,RESTRICTED,api-probe,
Hemnet,hemnet.se,1,teamtailor,hemnet,,5,yes,api-probe,
Instabee,instabee.com,1,teamtailor,instabee,,32,yes,api-probe,
Kognity,kognity.com,1,ashby,kognity,,5,yes,https://kognity.com/careers-at-kognity/,
Mathem,mathem.se,1,teamtailor,mathem,,1,yes,api-probe,
Mentimeter,mentimeter.com,1,greenhouse,mentimeter,,22,yes,api-probe,
Mentimeter,mentimeter.com,1,personio,mentimeter,,2,no,api-probe,
Paradox Interactive,paradoxinteractive.com,1,ashby,paradox,,7,yes,api-probe,
Paradox Interactive,paradoxinteractive.com,1,teamtailor,paradox-interactive,,19,yes,api-probe,
Polestar,polestar.com,1,teamtailor,polestar,,30,yes,api-probe,
Resolution Games,resolutiongames.com,1,ashby,resolution,,5,yes,api-probe,
Sandvik,sandvik.com,1,workday,sandvik,wd3/sandvik-jobs,413,yes,https://www.home.sandvik:443/en/careers/,
Sharkmob,sharkmob.com,1,teamtailor,sharkmob,,1,yes,api-probe,
Star Stable,starstable.com,1,teamtailor,starstable,,2,yes,api-probe,
Storytel,storytel.com,1,teamtailor,storytel,,6,yes,api-probe,
Storytel,storytel.com,1,personio,storytel,,3,no,api-probe,
Tobii,tobii.com,1,teamtailor,tobii,,6,yes,api-probe,
Truecaller,truecaller.com,1,greenhouse,truecaller,,26,yes,api-probe,
Trustly,trustly.com,1,lever,trustly,,22,yes,https://www.trustly.com/careers,yes
Trustly,trustly.com,1,ashby,trustly,,23,yes,api-probe,yes
Yubico,yubico.com,1,greenhouse,yubico,,14,yes,api-probe,
Alfa Laval,alfalaval.com,2,recruitee,alfa,,1,yes,api-probe,
Clavister,clavister.com,2,teamtailor,clavister,,4,yes,https://careers.clavister.com/,
Cygni,cygni.se,2,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/us-en/careers,
Doktor.se,doktor.se,2,teamtailor,doktor,,50,yes,api-probe,
Elekta,elekta.com,2,workday,elekta,wd3/Elekta_Careers,84,yes,https://www.elekta.com/company/careers/,
Essity,essity.com,2,workday,essity,wd3/Job_opportunities,340,yes,https://www.essity.com/careers/job-opportunities/,
Getinge,getinge.com,2,successfactors,performancemanager5,,-1,no,https://careers.getinge.com/,
Getinge,getinge.com,2,successfactors,career5,,-1,no,https://careers.getinge.com/,
HiQ,hiq.se,2,teamtailor,hiq,,78,yes,api-probe,
HiQ,hiq.se,2,personio,hiq,,5,no,api-probe,
Husqvarna,husqvarnagroup.com,2,workday,husqvarnagroup,wd3/External_Career_Site,158,yes,https://www.husqvarnagroup.com/,
Inter IKEA,inter.ikea.com,2,greenhouse,inter,,167,yes,api-probe,
Iver,iver.se,2,teamtailor,iver,,6,yes,api-probe,
Munters,munters.com,2,workday,munters,wd3/External_Careers,130,yes,https://www.munters.com/cs-cz/careers/,
Nexer,nexergroup.com,2,teamtailor,nexergroup,,100,yes,api-probe,
Prevas,prevas.se,2,teamtailor,prevas,,45,yes,api-probe,
Recorded Future,recordedfuture.com,2,greenhouse,recordedfuture,,40,yes,api-probe,
Scania,scania.com,2,successfactors,performancemanager5,,-1,no,https://jobs.scania.com/go/Jobs-at-Scania/9096601/,
Scania,scania.com,2,successfactors,career5,,-1,no,https://jobs.scania.com/go/Jobs-at-Scania/9096601/,
Softhouse,softhouse.se,2,teamtailor,softhouse,,10,yes,api-probe,
Sweco Group,swecogroup.com,2,recruitee,sweco,,172,yes,api-probe,
Tele2,tele2.com,2,successfactors,career2,,-1,no,https://www.tele2.com/join-us/job-openings-baltics/,
Tetra Pak,tetrapak.com,2,greenhouse,tetra,,1,yes,api-probe,
Fenix Outdoor,fenixoutdoor.se,3,teamtailor,fenixoutdoor,,78,yes,api-probe,
JM,jm.se,3,recruitee,jm,,1,yes,api-probe,
Lindex,lindex.com,3,teamtailor,lindex,,7,yes,api-probe,
Securitas,securitas.com,3,teamtailor,securitas,,29,yes,https://www.securitas.com/,
