company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Bloomreach,bloomreach.com,1,greenhouse,bloomreach,,76,yes,https://www.bloomreach.com/en/careers,
Innovatrics,innovatrics.com,1,workable,innovatrics,,-1,yes,https://careers.innovatrics.com/,
Piano Software,piano.io,1,bamboohr,piano,,13,RESTRICTED,https://www.piano.io/company/careers,
Powerful Medical,powerfulmedical.com,1,personio,powerfulmedical,,8,no,https://www.powerfulmedical.com/careers/,
Accenture Slovakia,accenture.com,2,workday,accenture,wd103/AccentureCareers,2000,yes,https://www.accenture.com/cz-en/careers,
Accenture Slovakia,accenture.com,2,recruitee,accenture,,2,yes,api-probe,
Adient Slovakia,adient.com,2,workday,adient,wd3/External,201,yes,https://www.adient.com/careers/,
Continental Slovakia,continental.com,2,smartrecruiters,continental,,934,yes,api-probe,
Deutsche Telekom IT Solutions Slovakia,deutschetelekomitsolutions.sk,2,smartrecruiters,deutschetelekomitsolutionsslovakia,,116,yes,https://www.deutschetelekomitsolutions.sk/en/career,
Jaguar Land Rover Slovakia,jaguarlandrover.com,2,successfactors,career5,,-1,no,https://careers.jaguarlandrover.com/,
Jaguar Land Rover Slovakia,jaguarlandrover.com,2,personio,jaguar,,3,no,api-probe,
Johnson Controls Slovakia,johnsoncontrols.com,2,workday,jci,wd5/JCI,2686,yes,https://jobs.johnsoncontrols.com/,
Johnson Controls Slovakia,johnsoncontrols.com,2,personio,johnson,,3,no,api-probe,
ZF Slovakia,zf.com,2,successfactors,performancemanager5,,-1,no,https://jobs.zf.com/,
ZF Slovakia,zf.com,2,successfactors,career5,,-1,no,https://jobs.zf.com/,
Goodrequest,goodrequest.com,3,recruitee,goodrequest,,1,yes,api-probe,
Goodrequest,goodrequest.com,3,bamboohr,goodrequest,,1,RESTRICTED,api-probe,
Letisko Bratislava,bts.aero,3,greenhouse,bts,,1,yes,api-probe,
Letisko Bratislava,bts.aero,3,bamboohr,bts,,2,RESTRICTED,api-probe,
Lidl Slovensko,lidl.sk,3,successfactors,career5,,-1,no,https://kariera.lidl.sk/?utm_source=lidl.sk&amp;utm_medium=click&amp;utm_campaign=lidl.sk_to_kariera.lidl.sk,
Pantheon Technologies,pantheon.tech,3,greenhouse,pantheon,,30,yes,api-probe,
SPP,spp.sk,3,personio,spp,,3,no,api-probe,
Titans freelancers,titans.sk,3,bamboohr,titans,,5,RESTRICTED,api-probe,
Union poistovna,union.sk,3,ashby,union,,2,yes,api-probe,
