company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
AB InBev,ab-inbev.com,1,greenhouse,abinbev,,56,yes,api-probe,
AIB,aib.ie,1,successfactors,career2,,-1,no,https://www.aib.ie/careers,
Adyen,adyen.com,1,greenhouse,adyen,,219,yes,api-probe,
Alpha Bank,alphaholdings.gr,1,recruitee,alpha,,2,no,api-probe,
BRD,brd.ro,1,bamboohr,brd,,2,no,api-probe,
Bitpanda,bitpanda.com,1,greenhouse,bitpanda,,46,yes,api-probe,
Blueground,theblueground.com,1,workable,j,,-1,no,https://www.theblueground.com/careers,
Blueground,theblueground.com,1,workable,blueground,,28,no,api-probe,
Booking.com,booking.com,1,icims,internal-workingatbooking,,-1,no,https://careers.booking.com,
CRH,crh.com,1,successfactors,career2,,-1,no,https://www.crh.com/careers/europe-finance-graduate-program/,
Carlsberg,carlsberggroup.com,1,successfactors,performancemanager,,-1,no,https://careers.carlsberg.com/,
Carlsberg,carlsberggroup.com,1,successfactors,rmkcdn,,-1,no,https://careers.carlsberg.com/,
Carlsberg,carlsberggroup.com,1,successfactors,career2,,-1,no,https://careers.carlsberg.com/,
Colruyt Group,colruytgroup.com,1,recruitee,colruytgroup,,8,no,api-probe,
Demant,demant.com,1,successfactors,performancemanager5,,-1,no,https://careers.demant.com,
Demant,demant.com,1,successfactors,career5,,-1,no,https://careers.demant.com,
EDP,edp.com,1,successfactors,performancemanager5,,-1,no,https://jobs.edp.com/,
EDP,edp.com,1,successfactors,career5,,-1,no,https://jobs.edp.com/,
Endava,endava.com,1,icims,jobs-galaxe,,-1,no,https://www.endava.com/careers/jobs,
Farfetch,farfetch.com,1,lever,farfetch,,64,yes,https://aboutfarfetch.com/careers/hiring/,
Feedzai,feedzai.com,1,greenhouse,feedzai,,34,yes,api-probe,
Grundfos,grundfos.com,1,successfactors,career5,,-1,no,https://www.grundfos.com/careers,
Grundfos,grundfos.com,1,successfactors,performancemanager5,,-1,no,https://jobs.grundfos.com/search/?q=&locale=en_GB&utm_source=CorpSite&utm_campaign=Corp_UK_Header_AllJobslink,
Grundfos,grundfos.com,1,successfactors,rmkcdn,,-1,no,https://jobs.grundfos.com/search/?q=&locale=en_GB&utm_source=CorpSite&utm_campaign=Corp_UK_Header_AllJobslink,
Grundfos,grundfos.com,1,successfactors,api012,,-1,no,https://jobs.grundfos.com/search/?q=&locale=en_GB&utm_source=CorpSite&utm_campaign=Corp_UK_Header_AllJobslink,
Heineken,theheinekencompany.com,1,successfactors,career5,,-1,no,https://careers.theheinekencompany.com,
Hostinger,hostinger.com,1,ashby,hostinger,,71,yes,api-probe,
Infobip,infobip.com,1,workday,infobip,wd3/InfobipCareers,145,yes,https://www.infobip.com/careers,
Intercom,intercom.com,1,greenhouse,intercom,,124,yes,https://fin.ai/careers,
Jeronimo Martins,jeronimomartins.com,1,successfactors,hcm55,,-1,no,https://careers.jeronimomartins.com/search/?locale=pt_PT&q=&locationsearch=,
Jeronimo Martins,jeronimomartins.com,1,successfactors,career55,,-1,no,https://careers.jeronimomartins.com/search/?locale=pt_PT&q=&locationsearch=,
KBC,kbc.com,1,personio,kbc,,6,no,api-probe,
Kone,kone.com,1,workday,kone,wd3/Careers,919,yes,https://www.kone.com/global/en.html,
Lokalise,lokalise.com,1,greenhouse,lokalise,,4,yes,api-probe,
Mintos,mintos.com,1,teamtailor,mintos,,-1,no,https://www.mintos.com:443/en/,
NXP Semiconductors,nxp.com,1,workday,nxp,wd3/careers,805,yes,https://www.nxp.com:443/company/about-nxp/careers:CAREERS,
National Bank of Greece,nbg.gr,1,greenhouse,national,,7,yes,api-probe,
Nord Security,nordsecurity.com,1,ashby,nord-security,,140,yes,api-probe,
Nortal,nortal.com,1,greenhouse,nortal,,49,yes,api-probe,
Novo Nordisk,novonordisk.com,1,ashby,novo,,7,yes,api-probe,
Novo Nordisk,novonordisk.com,1,bamboohr,novo,,14,no,api-probe,
Oxylabs,oxylabs.io,1,lever,oxylabs,,49,yes,api-probe,
Payhawk,payhawk.com,1,personio,payhawk,,3,no,api-probe,
Payhawk,payhawk.com,1,bamboohr,payhawk,,4,no,api-probe,
Persado,persado.com,1,workable,persado,,-1,no,https://www.persado.com/,
Pipedrive,pipedrive.com,1,lever,pipedrive,,17,yes,api-probe,
Printful,printful.com,1,teamtailor,printfulinc,,-1,no,https://careers.fyul.com,
