company,domain,tier
# Employers in the countries JobDigest is selectable for and has almost no inventory in.
#
# Measured 2026-08-04 against 30 043 active postings: 19 of the 31 selectable countries hold
# under 300 active postings and 12 hold under 50 — DK 65, GR 43, EE 50, LT 24, SI 20, FI 19,
# LU 14, LV 11, HR 11, MT 9, CY 17, IS 2. A subscriber in Athens or Riga cannot fill a
# 120-posting shortlist at all: they go straight to the widened retrieval path, which drops
# the recall predicate, and then to a RETRIEVAL alert from the watchdog.
#
# The national-register route is closed in every one of these countries (Denmark's Jobnet
# needs an email to STAR, Belgium's VDAB a signed cooperation agreement, Austria's AMS
# publishes statistics rather than vacancies), so curated employers on an ATS we already run
# is the whole available route — the same one that rebuilt Slovak coverage.
#
# Hand-assembled, never derived from a job board: a roster of employers read off jobs.cz
# would be a more substantial extraction of Alma Career's database than the postings
# `gather()` already excludes. `tier` only orders the probe and the report.
#
# NOTE: a live 200 is NOT evidence that a board belongs to the company whose name it spells.
# 24 of 75 candidates in the previous two passes were somebody else, and four Recruitee slugs
# answered with demo content titled "Senior Marketer (Sample)". Every row that survives this
# probe must have its own postings checked for company and city before it is added anywhere.

# --- Austria (AT: 257 active) ---
Erste Group,erstegroup.com,1
Raiffeisen Bank International,rbinternational.com,1
OMV,omv.com,1
voestalpine,voestalpine.com,1
Andritz,andritz.com,1
AVL,avl.com,1
Red Bull,redbull.com,1
A1 Telekom Austria,a1.group,1
Dynatrace,dynatrace.com,1
Bitpanda,bitpanda.com,1
Tricentis,tricentis.com,2
Frequentis,frequentis.com,2
TTTech,tttech.com,2
Wienerberger,wienerberger.com,2
Verbund,verbund.com,2
Palfinger,palfinger.com,2
Rosenbauer,rosenbauer.com,2
Kapsch,kapsch.net,2
GoStudent,gostudent.org,2
Storyblok,storyblok.com,2
Anyline,anyline.com,3
Runtastic,runtastic.com,3
Wien Energie,wienenergie.at,3
Magenta Telekom,magenta.at,3
# --- Netherlands (NL: 596) ---
ASML,asml.com,1
ING,ing.com,1
Rabobank,rabobank.com,1
ABN AMRO,abnamro.com,1
Adyen,adyen.com,1
Booking.com,booking.com,1
NXP Semiconductors,nxp.com,1
TomTom,tomtom.com,1
