company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Aerones,aerones.com,1,workable,j,,-1,yes,https://aerones.com/company-2/careers/,
Aerones,aerones.com,1,workable,aerones,,50,yes,https://aerones.com/company-2/careers/,
Cobalt,cobalt.io,1,greenhouse,cobaltio,,10,yes,https://www.cobalt.io/life,
FlowX AI,flowx.ai,1,workable,flowxai,,25,yes,api-probe,
Infraspeak,infraspeak.com,1,teamtailor,infraspeak,,9,yes,api-probe,
Printify,printify.com,1,teamtailor,printfulinc,,37,yes,https://careers.fyul.com,
Flip,flip.ro,2,greenhouse,flip,,14,yes,api-probe,
Flip,flip.ro,2,ashby,flip,,7,yes,api-probe,
Flip,flip.ro,2,workable,flip,,2,yes,api-probe,
Fortech,fortech.ro,2,bamboohr,fortech,,3,RESTRICTED,api-probe,
Klaus,klausapp.com,2,workday,zendesk,wd1/zendesk,124,yes,https://www.zendesk.com/company/careers/,
RangeForce,rangeforce.com,2,bamboohr,rangeforce,,1,RESTRICTED,api-probe,
Wallester,wallester.com,2,bamboohr,wallester,,10,RESTRICTED,api-probe,
Elcogen,elcogen.com,3,personio,elcogen,,-1,no,https://elcogen.com/,
Tilde,tilde.com,3,smartrecruiters,oneclick-ui,,-1,yes,https://tilde.ai/career/,
