company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Adverity,adverity.com,1,workable,adverity,,7,yes,api-probe,
Adverity,adverity.com,1,personio,adverity,,2,no,api-probe,
Causaly,causaly.com,1,ashby,causaly,,8,yes,https://www.causaly.com/,
DataCamp,datacamp.com,1,greenhouse,datacamp,,29,yes,api-probe,
Intigriti,intigriti.com,1,personio,intigriti,,5,no,api-probe,
Kevin,kevin.eu,1,personio,kevin,,3,no,api-probe,
Lansweeper,lansweeper.com,1,recruitee,lansweeper,,26,yes,api-probe,
Oura,ouraring.com,1,greenhouse,oura,,103,yes,https://ouraring.com/careers,
PVcase,pvcase.com,1,recruitee,pvcase,,15,yes,api-probe,
PlanRadar,planradar.com,1,greenhouse,planradar,,9,yes,api-probe,
Remote,remote.com,1,greenhouse,alphasense,,218,yes,https://remote.com/jobs,
Remote,remote.com,1,greenhouse,dragos,,50,yes,https://remote.com/jobs,
Remote,remote.com,1,greenhouse,arvaintelligence,,4,yes,https://remote.com/jobs,
Remote,remote.com,1,greenhouse,freshprints,,36,yes,https://remote.com/jobs,
Remote,remote.com,1,lever,calstart,,12,yes,https://remote.com/jobs,
Remote,remote.com,1,personio,knowledge-hero-gmbh,,-1,no,https://remote.com/jobs,
SiteGround,siteground.com,1,lever,siteground,,2,yes,https://careers.siteground.com/,
Testlio,testlio.com,1,greenhouse,testlio,,13,yes,api-probe,
refurbed,refurbed.com,1,greenhouse,refurbed,,12,yes,api-probe,
Aikido Security,aikido.dev,2,recruitee,aikidosecurity,,61,yes,https://www.aikido.dev/company/careers,
Anchorage Digital,anchorage.com,2,lever,anchorage,,41,yes,https://www.anchorage.com/careers,yes
Bitmovin,bitmovin.com,2,greenhouse,bitmovin,,9,yes,api-probe,
Corti,corti.ai,2,ashby,corti,,7,yes,https://www.corti.ai/careers,
Guardsquare,guardsquare.com,2,greenhouse,guardsquare,,16,yes,https://www.guardsquare.com/careers,
Guardsquare,guardsquare.com,2,lever,guardsquare,,1,yes,api-probe,
Guardsquare,guardsquare.com,2,personio,guardsquare,,3,no,api-probe,
IQM,meetiqm.com,2,teamtailor,iqm,,-1,no,https://iqm.tech/careers/,
IQM,meetiqm.com,2,personio,iqm,,3,no,api-probe,
Iceye,iceye.com,2,ashby,iceye,,158,yes,api-probe,
In The Pocket,inthepocket.com,2,greenhouse,inthepocket,,18,yes,api-probe,
M-Files,m-files.com,2,workable,m-files,,16,yes,https://www.m-files.com/careers/,
MeisterLabs,meister.co,2,personio,meister,,1,no,https://www.meistertask.com/pages/jobs,
NFQ,nfq.com,2,lever,nfq,,15,yes,https://www.nfq.com/career/,
Planday,planday.com,2,ashby,xero,,104,yes,https://careers.xero.com/jobs/?search=&amp;team=Planday&amp;pagesize=20%23results,
Plum,withplum.com,2,workable,withplum,,32,yes,https://withplum.com/,
Prewave,prewave.com,2,personio,prewave,,10,no,https://www.prewave.com/company/careers,
Quantive,quantive.com,2,bamboohr,quantive,,1,RESTRICTED,api-probe,
Sensei,sensei.tech,2,greenhouse,sensei,,7,yes,api-probe,
Universal Robots,universal-robots.com,2,greenhouse,universal,,2,yes,api-probe,
Comodule,comodule.com,3,teamtailor,comodule,,-1,no,https://www.comodule.com/careers,
Convert Group,convertgroup.com,3,workable,convertgroup,,-1,yes,https://convertgroup.com/careers/,
Deepsea,deepsea.ai,3,recruitee,deepsea,,2,yes,https://www.deepsea.ai/careers,
Deepsea,deepsea.ai,3,bamboohr,deepsea,,1,RESTRICTED,https://www.deepsea.ai/careers,
Flexcar,flexcar.gr,3,workable,flexcarcareers,,-1,yes,https://flexcar.gr/,
Kraken Technologies,krakentech.at,3,ashby,krakentech,,54,yes,api-probe,
Nanobit,nanobit.com,3,bamboohr,nanobit,,-1,RESTRICTED,https://nanobit.com/,
Queue-it,queue-it.com,3,teamtailor,queueit,,-1,no,https://queue-it.com/careers/,
Sixfold,sixfold.com,3,greenhouse,sixfold,,2,yes,api-probe,
